"Lat Ctr","U (m/s)","N","Err(U) m/s","Lat Graph","Porco et al. (2002)"
,,,,,"A. Vasavada"
-77.8,-1.4,25,9.69536,-79.293513518112
-77.7,-0.791667,24,12.1189,-79.205131222004
-77.6,-1.30435,23,11.2792,-79.116733650618
-77.5,0.347826,23,11.1625,-79.028320682246
-77.4,0.826087,23,10.4779,-78.939892195245
-77.3,0.72,25,9.88062,-78.851448068034
-77.2,3.15385,26,10.1496,-78.762988179097
-77.1,3.18519,27,10.1793,-78.674512406986
-77,1.70833,24,11.8119,-78.586020630315
-76.9,0.76,25,11.3258,-78.497512727767
-76.8,0.16,25,10.5857,-78.40898857809
-76.7,1.23077,26,10.3317,-78.320448060102
-76.6,1.24,25,8.76679,-78.231891052687
-76.5,3.08696,23,12.2916,-78.143317434801
-76.4,-0.4,25,11.1355,-78.054727085466
-76.3,1.8,25,9.57862,-77.966119883779
-76.2,2.24,25,9.47488,-77.877495708903
-76.1,2.65217,23,9.19787,-77.788854440077
-76,1.77273,22,7.79458,-77.70019595661
-75.9,1.91304,23,7.29204,-77.611520137885
-75.8,2.08,25,6.86124,-77.522826863358
-75.7,2.875,24,6.89242,-77.43411601256
-75.6,3.56,25,6.4941,-77.345387465097
-75.5,3.71429,21,6.69435,-77.256641100651
-75.4,4.09091,22,6.53131,-77.16787679898
-75.3,2.3913,23,5.24612,-77.079094439921
-75.2,1.36,25,5.76541,-76.990293903385
-75.1,1.16667,24,5.56125,-76.901475069366
-75,2,20,5.8938,-76.812637817934
-74.9,1.89474,19,5.84898,-76.723782029242
-74.8,2.16667,24,4.21866,-76.63490758352
-74.7,2.07692,26,4.93091,-76.546014361083
-74.6,3.04348,23,5.24386,-76.457102242326
-74.5,4.25,20,5.34962,-76.368171107728
-74.4,3.78261,23,4.88929,-76.279220837851
-74.3,2.65217,23,5.74938,-76.190251313341
-74.2,2.3913,23,4.28251,-76.10126241493
-74.1,2.04545,22,3.44311,-76.012254023436
-74,1.54167,24,4.33368,-75.923226019762
-73.9,3.18182,22,7.19548,-75.834178284901
-73.8,4.40909,22,6.64515,-75.74511069993
-73.7,4.04167,24,4.77748,-75.656023146018
-73.6,3.79167,24,5.38903,-75.566915504424
-73.5,3.77273,22,5.58,-75.477787656494
-73.4,2.45,20,5.28628,-75.388639483669
-73.3,1.9,20,3.94568,-75.299470867478
-73.2,1.38095,21,3.93035,-75.210281689547
-73.1,1.80769,26,3.63339,-75.12107183159
-73,1.85185,27,3.55943,-75.031841175421
-72.9,2.03571,28,3.86324,-74.942589602944
-72.8,2.07407,27,4.20554,-74.853316996163
-72.7,2.46429,28,6.26266,-74.764023237174
-72.6,2.32143,28,7.08704,-74.674708208174
-72.5,1.14286,28,5.31744,-74.585371791457
-72.4,1.32,25,4.98932,-74.496013869415
-72.3,0.791667,24,3.8105,-74.406634324542
-72.2,-0.259259,27,3.19366,-74.317233039429
-72.1,-0.25,24,3.03959,-74.227809896772
-72,-0.62963,27,3.34144,-74.138364779368
-71.9,-0.391304,23,3.62741,-74.048897570115
-71.8,-0.521739,23,3.36924,-73.959408152017
-71.7,-0.5,26,3.38526,-73.869896408182
-71.6,-0.892857,28,3.90953,-73.780362221825
