"Pg","Cassini","HST","Visible=Average_Cassini_HST","F164N","F212N","F335M","D164N=F164N-Visible","D212N=F212N-Visible","D335M=F335M-Visible","DUV=UV-Visible"
36.5,19.506,29.599,24.553,23.971,27.378,23.833,-0.582,2.826,-0.72,-26.203
36.6,19.485,28.75,24.118,23.75,27.47,23.39,-0.368,3.352,-0.728,-25.344
36.7,17.583,26.79,22.187,23.53,27.065,23.042,1.343,4.878,0.855,-22.944
36.8,17.519,24.009,20.764,23.259,26.323,22.56,2.495,5.559,1.796,-21.046
36.9,16.336,21.297,18.816,22.855,25.296,21.756,4.038,6.48,2.94,-18.655
37,16.969,18.322,17.645,22.3,24.283,20.412,4.655,6.637,2.767,-17.113
37.1,15.65,16.072,15.861,21.57,23.001,18.676,5.709,7.14,2.815,-15.069
37.2,13.948,14.429,14.189,20.635,21.276,16.815,6.447,7.088,2.626,-13.289
37.3,11.319,13.263,12.291,19.539,18.941,15.288,7.248,6.65,2.997,-11.716
37.4,8.035,10.929,9.482,18.262,16.097,13.894,8.78,6.615,4.412,-9.328
37.5,5.196,7.586,6.391,16.768,13.085,12.257,10.377,6.694,5.865,-6.729
37.6,2.298,3.643,2.97,15.096,10.259,10.005,12.125,7.288,7.035,-3.848
37.7,-0.022,0.303,0.141,13.248,7.557,7.15,13.108,7.416,7.009,-1.579
37.8,-2.315,-1.984,-2.15,11.231,5.001,4.17,13.38,7.151,6.319,0.154
37.9,-3.821,-3.879,-3.85,9.088,2.619,1.508,12.938,6.469,5.358,1.326
38,-3.918,-5.269,-4.593,6.823,0.413,-0.757,11.416,5.007,3.837,1.593
38.1,-4.361,-6.915,-5.638,4.546,-1.576,-2.793,10.184,4.062,2.845,2.308
38.2,-5.079,-9.453,-7.266,2.369,-3.394,-4.711,9.634,3.871,2.554,3.652
38.3,-5.951,-11.719,-8.835,0.279,-5.071,-6.61,9.114,3.764,2.225,4.981
38.4,-6.745,-13.432,-10.089,-1.587,-6.483,-8.264,8.502,3.605,1.824,6.032
38.5,-7.634,-14.293,-10.964,-3.098,-7.59,-9.575,7.866,3.374,1.389,6.74
38.6,-8.711,-14.817,-11.764,-4.142,-8.375,-10.514,7.623,3.389,1.25,7.404
38.7,-9.314,-16.108,-12.711,-4.922,-8.956,-11.159,7.789,3.755,1.552,8.243
38.8,-11.968,-16.735,-14.352,-5.698,-9.516,-11.658,8.653,4.835,2.694,9.799
38.9,-14.693,-16.427,-15.56,-6.721,-10.295,-12.163,8.839,5.265,3.397,10.943
39,-13.957,-15.49,-14.723,-7.76,-11.023,-12.56,6.963,3.701,2.163,10.058
39.1,-14.178,-15.28,-14.729,-8.74,-11.578,-12.88,5.989,3.15,1.849,10.029
39.2,-14.726,-16.879,-15.802,-9.612,-11.824,-13.217,6.191,3.978,2.585,10.948
39.3,-13.261,-19.232,-16.247,-10.396,-11.878,-13.476,5.851,4.369,2.771,11.248
39.4,-13.23,-20.321,-16.775,-11.099,-11.883,-13.623,5.677,4.893,3.153,11.65
39.5,-13.811,-20.45,-17.13,-11.846,-12.074,-13.684,5.284,5.056,3.446,11.906
