"Pg","Cassini","HST","Visible=Average_Cassini_HST","F164N","F212N","F335M","D164N=F164N-Visible","D212N=F212N-Visible","D335M=F335M-Visible","DUV=UV-Visible"
53.5,-2.484,-1.327,-1.905,-2.781,0.666,-0.556,-0.876,2.572,1.35,1.085
53.6,-2.132,-0.838,-1.485,-2.273,1.296,-0.106,-0.788,2.781,1.379,1.485
53.7,-1.614,-0.283,-0.949,-1.698,1.95,0.25,-0.75,2.898,1.198,1.762
53.8,-1.015,0.428,-0.294,-1.07,2.609,0.61,-0.776,2.903,0.904,1.912
53.9,0.313,1.399,0.856,-0.451,3.251,1.049,-1.307,2.396,0.193,1.561
54,0.943,2.319,1.631,0.203,3.889,1.547,-1.428,2.258,-0.084,1.578
54.1,2.082,2.954,2.518,0.94,4.535,2.12,-1.578,2.016,-0.398,1.477
54.2,2.815,3.538,3.176,1.728,5.202,2.75,-1.449,2.026,-0.427,1.6
54.3,3.11,4.432,3.771,2.626,5.88,3.458,-1.145,2.109,-0.313,1.782
54.4,4.106,5.387,4.746,3.69,6.553,4.24,-1.056,1.807,-0.506,1.581
54.5,4.276,6.286,5.281,4.961,7.188,5.05,-0.32,1.907,-0.231,1.816
54.6,5.628,7.29,6.459,6.369,7.823,5.935,-0.09,1.364,-0.524,1.407
54.7,6.426,8.7,7.563,7.792,8.5,6.9,0.229,0.937,-0.663,1.07
54.8,7.453,10.33,8.892,9.095,9.215,7.948,0.204,0.323,-0.944,0.508
54.9,8.228,12.094,10.161,10.42,10,9.052,0.259,-0.161,-1.109,0.005
55,9.202,13.324,11.263,11.854,10.886,10.169,0.591,-0.377,-1.094,-0.329
55.1,10.733,14.752,12.742,13.496,11.917,11.312,0.754,-0.825,-1.43,-1.04
55.2,12.538,16.282,14.41,15.102,12.996,12.373,0.692,-1.414,-2.037,-1.937
55.3,13.727,17.868,15.798,16.452,14.033,13.261,0.654,-1.765,-2.537,-2.551
55.4,15.334,19.012,17.173,17.503,15.031,13.971,0.33,-2.143,-3.202,-3.149
55.5,16.786,20.232,18.509,18.369,15.855,14.449,-0.14,-2.655,-4.061,-3.704
55.6,17.939,21.495,19.717,19.223,16.391,14.712,-0.494,-3.326,-5.005,-4.125
55.7,18.946,22.581,20.764,20.063,16.629,14.76,-0.701,-4.135,-6.004,-4.38
55.8,19.684,23.316,21.5,20.677,16.612,14.563,-0.823,-4.888,-6.937,-4.319
55.9,20.001,23.247,21.624,20.969,16.489,14.17,-0.655,-5.135,-7.454,-3.637
56,19.748,22.063,20.905,20.944,16.26,13.581,0.038,-4.645,-7.324,-2.105
56.1,19.255,20.374,19.815,20.675,15.784,12.862,0.861,-4.031,-6.952,-0.193
56.2,18.467,18.541,18.504,20.373,14.979,12.13,1.868,-3.525,-6.375,1.948
56.3,17.101,17.115,17.108,19.928,13.89,11.375,2.82,-3.219,-5.733,4.184
56.4,15.427,16.176,15.801,19.185,12.752,10.61,3.383,-3.049,-5.191,6.342
56.5,13.843,15.694,14.768,18.094,11.878,9.901,3.326,-2.89,-4.867,8.238
56.6,12.08,15.101,13.59,16.697,11.106,9.207,3.107,-2.485,-4.384,10.29
56.7,10.465,14.403,12.434,15.13,10.26,8.477,2.696,-2.174,-3.957,12.333
56.8,9.101,13.024,11.063,13.578,9.083,7.684,2.515,-1.98,-3.379,14.605
56.9,7.828,10.71,9.269,11.926,7.87,6.833,2.657,-1.399,-2.436,17.313
57,6.556,8.53,7.543,10.2,6.879,5.93,2.657,-0.664,-1.613,19.968
57.1,5.466,6.59,6.028,8.349,6.346,4.965,2.321,0.318,-1.064,22.428
57.2,5.066,4.271,4.669,6.531,5.983,3.973,1.863,1.314,-0.696,24.748
57.3,4.034,1.976,3.005,4.915,5.529,3.012,1.91,2.524,0.007,27.39
57.4,3.39,-0.064,1.663,3.538,4.797,2.096,1.875,3.134,0.433,29.727
57.5,2.702,-0.582,1.06,2.424,4.05,1.241,1.364,2.989,0.18,31.343
57.6,1.74,-1.464,0.138,1.55,3.465,0.463,1.412,3.327,0.326,33.299
57.7,0.142,-2.4,-1.129,0.897,3.12,-0.235,2.026,4.249,0.894,35.618
57.8,-1.071,-2.997,-2.034,0.501,2.824,-0.864,2.535,4.858,1.17,37.596
57.9,-1.414,-2.815,-2.115,0.326,2.385,-1.451,2.441,4.5,0.664,38.771
58,-1.73,-2.579,-2.155,0.356,1.798,-2,2.511,3.953,0.155,39.927
58.1,-2.13,-2.77,-2.45,0.453,1.249,-2.533,2.903,3.699,-0.084,41.36
58.2,-2.563,-2.958,-2.761,0.465,0.906,-3.14,3.225,3.667,-0.379,42.833
58.3,-2.91,-3.19,-3.05,0.393,0.733,-3.784,3.444,3.783,-0.734,44.308
58.4,-3.06,-3.57,-3.315,0.19,0.572,-4.313,3.505,3.887,-0.998,45.782
58.5,-3.216,-4.391,-3.804,-0.202,0.296,-4.787,3.602,4.1,-0.983,47.507
58.6,-3.445,-5.257,-4.351,-0.725,-0.058,-5.065,3.627,4.293,-0.714,49.316
58.7,-3.1,-5.847,-4.473,-1.275,-0.475,-4.803,3.199,3.998,-0.33,50.727
58.8,-3.358,-6.213,-4.785,-1.803,-0.92,-3.695,2.983,3.866,1.09,52.354
58.9,-3.371,-6.434,-4.902,-2.306,-1.422,-1.978,2.596,3.48,2.924,53.815
59,-3.596,-6.79,-5.193,-2.73,-1.994,-0.142,2.462,3.198,5.05,55.479
59.1,-4.03,-7.04,-5.535,-3.049,-2.689,1.528,2.487,2.846,7.064,57.223
59.2,-4.171,-6.804,-5.487,-3.351,-3.384,3.046,2.137,2.104,8.534,58.608
59.3,-4.302,-6.78,-5.541,-3.734,-3.942,4.288,1.807,1.599,9.829,60.126
59.4,-4.431,-6.088,-5.259,-4.203,-4.301,5.311,1.057,0.958,10.57,61.339
59.5,-4.517,-6.012,-5.265,-4.683,-4.53,5.759,0.582,0.735,11.023,62.873
59.6,-4.364,-5.657,-5.01,-5.135,-4.701,5.349,-0.124,0.31,10.36,64.179
59.7,-4.183,-5.722,-4.952,-5.551,-4.854,4.036,-0.599,0.098,8.988,65.716
59.8,-4.002,-5.668,-4.835,-5.884,-4.918,2.293,-1.049,-0.083,7.128,67.228
59.9,-4.125,-5.526,-4.825,-6.139,-4.857,0.699,-1.314,-0.032,5.525,68.883
60,-4.575,-5.29,-4.932,-6.281,-4.677,-0.71,-1.349,0.256,4.222,70.69
