"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-55.73513,-59.21645,174.27422,-5.55903,1.6456,0.78619
-55.70565,-59.18859,161.22984,-9.89623,0,0.8981
-55.70565,-59.18859,155.49545,-9.89623,0,0.93337
-55.67037,-59.15524,161.22984,-9.90554,-2.19556,0.90421
-55.63509,-59.1219,155.49545,-9.91484,0,0.93661
-55.59982,-59.08855,163.43027,-12.40517,-2.19572,0.88133
-55.59982,-59.08855,161.22984,-9.92413,-2.19572,0.90931
-55.59982,-59.08855,155.46211,-8.68362,-2.19572,0.93947
-55.5764,-59.06641,168.44839,-13.95639,-1.64588,0.83437
-55.5293,-59.02186,161.22984,-9.94271,-2.19589,0.91293
-55.5293,-59.02186,155.49545,-9.94271,-2.19589,0.94141
-55.52352,-59.01639,136.61897,-5.59039,-1.64597,0.8623
-55.52352,-59.01639,184.3006,-6.52212,-1.64597,0.74078
-55.52352,-59.01639,174.24921,-4.65866,-1.64597,0.82129
-55.45879,-58.95517,161.22984,-9.96128,-2.19605,0.91508
-55.45879,-58.95517,155.49545,-9.96128,-2.19605,0.94232
-55.3883,-58.88848,163.56361,-17.46469,-2.19622,0.89438
-55.3883,-58.88848,161.26318,-11.2273,-2.19622,0.91608
-55.3883,-58.88848,155.49545,-9.97982,-2.19622,0.94223
-55.31784,-58.82179,161.29652,-12.49794,-2.19638,0.9163
-55.31784,-58.82179,155.52879,-11.24815,-2.19638,0.94147
-55.25925,-58.76632,184.47562,-13.13541,-1.64643,0.76122
-55.25925,-58.76632,174.37422,-9.38244,-1.64643,0.82653
-55.24739,-58.75509,161.3632,-15.0253,-2.19655,0.91633
-55.24739,-58.75509,155.52879,-11.26897,-2.19655,0.94048
-55.17697,-58.6884,163.59695,-18.8163,-2.19671,0.89766
-55.17697,-58.6884,161.3632,-15.05304,-2.19671,0.91641
-55.17697,-58.6884,155.56213,-12.5442,-2.19671,0.93954
-55.10657,-58.62171,176.23264,-17.59421,-2.19688,0.87356
-55.10657,-58.62171,161.39655,-16.33748,-2.19688,0.91646
-55.10657,-58.62171,155.56213,-12.5673,-2.19688,0.93873
-55.04805,-58.56627,165.97305,-5.66063,-1.64681,0.84033
-55.03618,-58.55502,176.1993,-16.36748,-2.19705,0.87247
-55.03618,-58.55502,161.3632,-15.10845,-2.19705,0.91651
-55.03618,-58.55502,155.56213,-12.59037,-2.19705,0.93807
-54.99528,-58.51625,136.69398,-8.50261,-1.6469,0.81222
-54.96582,-58.48833,163.56361,-17.6588,-2.19721,0.89667
-54.96582,-58.48833,161.3632,-15.13611,-2.19721,0.91647
-54.96582,-58.48833,176.13261,-13.87477,-2.19721,0.87313
-54.96582,-58.48833,155.52879,-11.35208,-2.19721,0.93749
-54.94252,-58.46624,168.44839,-14.19045,-1.64699,0.82268
-54.89548,-58.42164,161.3632,-15.16375,-2.19738,0.91591
-54.89548,-58.42164,155.52879,-11.37281,-2.19738,0.93669
-54.89548,-58.42164,175.96593,-7.58188,-2.19738,0.87529
-54.82516,-58.35495,161.32986,-13.92542,-2.19754,0.91447
-54.82516,-58.35495,155.49545,-10.12758,-2.19754,0.93532
-54.75486,-58.28825,163.53027,-16.4872,-2.19771,0.89277
-54.75486,-58.28825,161.32986,-13.95071,-2.19771,0.91214
-54.75486,-58.28825,155.49545,-10.14597,-2.19771,0.93337
-54.7316,-58.26618,166.12308,-11.41443,1.64737,0.84692
-54.7316,-58.26618,136.71899,-9.51202,-1.64737,0.74237
-54.7316,-58.26618,168.49841,-16.17044,-1.64737,0.80952
-54.68458,-58.22156,161.32986,-13.97597,-2.19788,0.90957
-54.68458,-58.22156,155.49545,-10.16434,-2.19788,0.93119
-54.61432,-58.15487,161.32986,-14.00121,-2.19804,0.90755
-54.61432,-58.15487,155.49545,-10.1827,-2.19804,0.92929
-54.54409,-58.08818,155.49545,-10.20104,-2.19821,0.92809
-54.52087,-58.06613,168.54842,-18.17085,-1.64774,0.80362
-54.47387,-58.02149,161.3632,-15.32905,-2.19838,0.90735
