"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.5249,4.11,8.18,22.2
0.5251,4.11,8.18,22.2
0.5252,4.11,8.19,22.2
0.5253,4.12,8.21,22.2
0.5255,4.13,8.22,22.2
0.5256,4.13,8.24,22.2
0.5258,4.13,8.25,22.3
0.5259,4.14,8.26,22.3
0.526,4.14,8.27,22.3
0.5262,4.15,8.28,22.3
0.5263,4.15,8.29,22.3
0.5265,4.16,8.3,22.3
0.5266,4.16,8.31,22.3
0.5267,4.17,8.3,22.3
0.5269,4.17,8.31,22.3
0.527,4.18,8.33,22.3
0.5271,4.18,8.33,22.3
0.5273,4.19,8.34,22.4
0.5274,4.19,8.36,22.4
0.5276,4.2,8.38,22.4
0.5277,4.2,8.38,22.4
0.5278,4.21,8.39,22.4
0.528,4.21,8.41,22.5
0.5281,4.22,8.42,22.5
0.5283,4.22,8.43,22.5
0.5284,4.23,8.44,22.5
0.5285,4.23,8.45,22.5
0.5287,4.24,8.46,22.5
0.5288,4.24,8.46,22.6
0.529,4.24,8.47,22.6
0.5291,4.25,8.48,22.6
0.5292,4.25,8.49,22.6
0.5294,4.26,8.51,22.7
0.5295,4.26,8.52,22.7
0.5297,4.27,8.53,22.7
0.5298,4.27,8.53,22.7
0.5299,4.28,8.54,22.7
0.5301,4.28,8.56,22.7
0.5302,4.29,8.57,22.7
0.5304,4.29,8.57,22.7
0.5305,4.29,8.58,22.8
0.5306,4.3,8.59,22.8
0.5308,4.3,8.6,22.8
0.5309,4.3,8.61,22.9
0.5311,4.31,8.62,22.9
0.5312,4.31,8.64,22.9
0.5313,4.32,8.64,22.9
0.5315,4.32,8.65,23
0.5316,4.33,8.67,23
0.5318,4.33,8.67,23
0.5319,4.33,8.68,23
0.5321,4.34,8.69,23
0.5322,4.34,8.7,23
0.5323,4.34,8.71,23.1
0.5325,4.35,8.72,23.1
0.5326,4.35,8.73,23.1
0.5328,4.36,8.74,23.1
0.5329,4.36,8.75,23.1
0.533,4.36,8.76,23.1
0.5332,4.37,8.76,23.2
0.5333,4.37,8.77,23.2
0.5335,4.38,8.78,23.2
0.5336,4.38,8.79,23.2
0.5338,4.39,8.8,23.2
0.5339,4.39,8.81,23.2
0.534,4.39,8.82,23.3
0.5342,4.4,8.83,23.3
0.5343,4.4,8.84,23.3
0.5345,4.4,8.84,23.3
0.5346,4.41,8.85,23.3
0.5348,4.41,8.86,23.3
0.5349,4.41,8.87,23.3
0.535,4.42,8.87,23.3
