"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.6313,8.53,17.4,40.7
0.6315,8.53,17.4,40.7
0.6317,8.34,16.9,40.3
0.6319,8.28,16.7,40
0.6321,8.33,16.8,40.1
0.6323,8.32,16.7,39.8
0.6325,8.37,16.9,40.1
0.6327,8.44,17.1,40.2
0.6329,8.6,17.5,40.5
0.6331,8.61,17.5,40.7
0.6333,8.53,17.3,40.6
0.6335,8.56,17.4,40.7
0.6337,8.68,17.7,40.9
0.6339,8.68,17.8,40.9
0.6341,8.7,17.8,41
0.6343,8.57,17.5,40.7
0.6345,8.61,17.6,40.8
0.6347,8.62,17.6,40.8
0.6349,8.62,17.6,40.8
0.6351,8.68,17.7,40.9
0.6353,8.67,17.7,40.8
0.6355,8.77,18,41.1
0.6357,8.81,18.1,41.2
0.6359,8.73,17.8,41
0.6361,8.65,17.6,40.8
0.6363,8.75,17.9,41
0.6365,8.83,18.1,41.3
0.6367,8.88,18.2,41.3
0.6369,8.8,18,41.1
0.6371,8.67,17.6,40.7
0.6373,8.7,17.6,40.7
0.6376,8.82,18,41
0.6378,8.9,18.3,41.3
0.638,8.9,18.2,41.2
0.6382,8.88,18.2,41.1
0.6384,8.83,18,40.9
0.6386,8.83,18,40.9
0.6388,8.9,18.2,41.1
0.639,8.87,18.1,41.1
0.6392,8.84,18,41
0.6394,8.87,18.1,41
0.6396,8.88,18.1,41
0.6398,8.88,18.1,41.1
0.64,8.87,18.1,41
0.6402,8.86,18,40.8
0.6404,8.87,18.1,41
0.6406,8.9,18.2,41.1
0.6408,8.85,18,41
0.641,8.81,17.9,40.9
0.6412,8.89,18.2,41.2
0.6414,8.93,18.3,41.2
0.6416,8.9,18.2,41.1
0.6418,8.9,18.2,41.1
0.6421,8.88,18.1,41.1
0.6423,8.93,18.3,41.3
0.6425,8.94,18.3,41.3
0.6427,8.87,18.1,41.1
0.6429,8.93,18.2,41.2
0.6431,8.97,18.4,41.4
0.6433,8.85,18,41.1
0.6435,8.84,17.9,40.9
0.6437,8.96,18.3,41.2
0.6439,9.01,18.4,41.2
0.6441,8.93,18.1,40.8
0.6443,8.91,18,40.7
0.6445,8.87,17.9,40.7
0.6447,8.88,17.8,40.6
0.645,8.88,17.8,40.5
0.6452,8.9,17.9,40.5
0.6454,8.91,17.9,40.4
0.6456,8.76,17.4,39.9
0.6458,8.71,17.2,39.5
0.646,8.28,15.8,38.3
0.6462,8.15,15.3,37.7
0.6464,8.29,15.8,38.3
0.6466,8.1,15,37.2
0.6468,7.97,14.7,36.6
0.647,7.78,14.3,36.2
0.6472,7.81,14.5,36.9
0.6475,7.77,14.4,36.3
0.6477,6.9,12.6,32
0.6479,7.02,13.1,34.6
0.6481,7.48,14,36.1
0.6483,7.43,13.9,36.4
0.6485,7.37,13.8,36.2
0.6487,7.31,13.7,36.1
0.6489,7.82,14.8,38.1
0.6491,7.7,14.6,37.7
0.6494,7.51,14.2,36.9
0.6496,7.65,14.6,37.6
0.6498,7.75,14.8,37.9
0.65,8.31,16.5,39.7
0.6502,8.92,18,40.8
0.6504,8.72,17.5,40.3
0.6506,8.8,17.7,40.6
0.6508,8.75,17.6,40.6
0.651,8.54,17,40.1
0.6513,8.34,16.4,39.4
0.6515,7.69,14.6,37.5
0.6517,6.85,12.6,33.3
0.6519,6.88,12.5,30.8
0.6521,7.68,14.2,36.1
0.6523,8.1,15.4,38.2
0.6525,8.12,15.6,38.5
0.6527,8.39,16.6,39.6
0.653,8.99,18.1,40.7
0.6532,8.86,17.8,40.6
0.6534,8.1,15.8,39.1
0.6536,7.98,15.3,38.5
0.6538,8.47,16.7,39.5
0.654,8.75,17.6,40.5
0.6542,8.66,17.3,40.3
0.6545,7.87,15.1,38.7
0.6547,7.93,15.2,38.5
0.6549,7.88,15,38.4
0.6551,7.95,15.3,38.7
0.6553,8.04,15.4,38.7
0.6555,7.76,14.6,37.3
0.6557,8.08,15.4,38.5
0.656,8.18,15.8,39
0.6562,8.23,16,39
0.6564,7.99,15.2,38.2
0.6566,7.97,15.3,38.6
0.6568,8.37,16.5,39.4
0.657,8.37,16.3,39
0.6572,7.91,14.9,37.6
0.6575,7.74,14.5,37
0.6577,7.96,15.1,38.1
0.6579,8.45,16.7,39.7
0.6581,8.55,16.9,39.8
0.6583,8.35,16.2,38.9
0.6585,8.44,16.5,39
0.6588,8.21,15.8,38.3
0.659,8.28,16.1,38.9
0.6592,8.73,17.6,40.4
0.6594,8.65,17.4,40.2
0.6596,8.6,17.1,39.7
0.6598,8.71,17.5,40
0.6601,8.56,16.9,39.5
0.6603,8.49,16.6,39.1
0.6605,8.68,17.3,39.9
0.6607,8.8,17.7,40.3
0.6609,8.85,17.9,40.6
0.6612,8.86,17.9,40.6
0.6614,8.73,17.5,40.1
0.6616,8.71,17.5,40.2
0.6618,8.75,17.8,40.6
0.662,8.73,17.8,40.6
0.6623,8.74,17.8,40.6
0.6625,8.76,17.9,40.7
0.6627,8.78,17.9,40.8
0.6629,8.72,17.7,40.5
0.6631,8.78,18,41
0.6633,8.82,18.1,41.1
0.6636,8.82,18.1,41
0.6638,8.88,18.3,41.4
0.664,8.89,18.3,41.4
0.6642,8.82,18.1,41.1
0.6645,8.77,18,41.1
0.6647,8.83,18.2,41.3
0.6649,8.86,18.3,41.4
0.6651,8.86,18.3,41.5
0.6653,8.85,18.3,41.5
0.6656,8.83,18.3,41.5
0.6658,8.81,18.3,41.4
0.666,8.81,18.3,41.4
0.6662,8.77,18.3,41.7
0.6664,8.76,18.3,41.7
0.6667,8.81,18.4,41.8
0.6669,8.83,18.5,41.9
0.6671,8.85,18.5,42
0.6673,8.88,18.5,41.9
0.6676,8.9,18.6,42
0.6678,8.93,18.7,42.2
0.668,8.97,18.8,42.3
0.6682,9.02,18.9,42.3
0.6684,9.07,18.9,42.1
0.6687,9.11,19,42.2
0.6689,9.14,19.1,42.5
0.6691,9.19,19.2,42.5
0.6693,9.26,19.3,42.5
0.6696,9.3,19.4,42.6
0.6698,9.35,19.5,42.7
0.67,9.44,19.7,42.8
0.6702,9.58,19.9,42.9
0.6705,9.71,20.2,43.2
0.6707,9.85,20.5,43.5
0.6709,9.97,20.7,43.7
0.6711,9.97,20.7,43.6
0.6714,9.97,20.6,43.5
0.6716,9.97,20.6,43.4
0.6718,9.98,20.5,43.2
0.672,10,20.5,43.2
0.6723,10.1,20.6,43.2
0.6725,10.1,20.6,43.1
0.6727,10.2,20.7,43.1
0.6729,10.3,20.9,43.3
0.6732,10.5,21.3,43.8
0.6734,10.7,21.7,44.3
0.6736,10.9,22.2,44.7
0.6739,11,22.5,45
0.6741,11,22.4,44.9
0.6743,11,22.3,44.8
0.6745,10.9,22.2,44.7
0.6748,10.9,22.2,44.5
0.675,11,22.2,44.6
0.6752,11,22.4,44.7
0.6754,11.1,22.5,44.8
0.6757,11.2,22.6,44.9
0.6759,11.2,22.7,45
0.6761,11.3,22.8,45.1
0.6764,11.3,22.8,45.1
0.6766,11.3,22.9,45.2
0.6768,11.4,23,45.3
0.677,11.4,23.1,45.4
0.6773,11.5,23.1,45.4
0.6775,11.5,23.2,45.5
0.6777,11.5,23.3,45.5
0.678,11.6,23.3,45.6
0.6782,11.6,23.3,45.6
0.6784,11.6,23.4,45.6
0.6787,11.6,23.4,45.6
0.6789,11.6,23.4,45.6
0.6791,11.7,23.5,45.7
0.6793,11.7,23.5,45.8
0.6796,11.7,23.6,45.7
0.6798,11.7,23.5,45.7
0.68,11.6,23.5,45.7
0.6803,11.6,23.5,45.8
0.6805,11.6,23.4,45.7
0.6807,11.5,23.3,45.5
0.681,11.6,23.4,45.6
0.6812,11.6,23.5,45.8
0.6814,11.5,23.3,45.6
0.6817,11.5,23.2,45.5
0.6819,11.5,23.2,45.5
0.6821,11.5,23.2,45.5
0.6824,11.4,23.1,45.4
0.6826,11.3,23,45.4
0.6828,11.3,23,45.4
0.6831,11.3,22.9,45.3
0.6833,11.2,22.8,45.3
0.6835,11.2,22.7,45.1
0.6838,11.2,22.6,45.1
0.684,11.1,22.6,45
0.6842,11.1,22.5,44.9
0.6845,11.2,22.6,45
0.6847,11.3,22.7,45
0.6849,11.3,22.9,45.1
0.6852,11.5,23.2,45.4
0.6854,11.4,23.2,45.6
0.6856,11.5,23.2,45.6
0.6859,11.6,23.3,45.6
0.6861,11.5,23.2,45.5
0.6863,11.5,23.2,45.3
0.6866,11.4,23,45.1
0.6868,11.4,22.9,45.3
0.687,11.4,23,45.1
0.6873,11.6,23.2,45.4
0.6875,11.7,23.5,45.7
0.6878,11.6,23.3,45.5
0.688,11.7,23.5,45.5
0.6882,11.9,23.8,45.9
0.6885,11.9,23.9,46
0.6887,11.9,23.8,45.9
0.6889,11.8,23.7,45.8
0.6892,11.8,23.7,45.6
0.6894,11.9,23.8,45.8
0.6897,12,23.9,45.9
0.6899,11.8,23.6,45.6
0.6901,11.8,23.4,44.7
0.6904,11.7,23.1,44.5
0.6906,11.5,22.7,44
0.6908,11.6,22.7,43.7
0.6911,11.6,22.6,43.7
0.6913,11.2,21.6,42.4
0.6916,11,20.8,41.1
0.6918,11,20.8,41.4
0.692,10.8,20.3,40.7
0.6923,9.75,17.9,39
0.6925,8.7,14.9,36.1
0.6928,8.84,15.7,36.9
0.693,8.19,14.6,35.8
0.6932,7.64,13.2,31.6
0.6935,7.87,13.8,33.3
0.6937,8.19,14.7,36.3
0.694,7.36,13.2,34.1
0.6942,6.31,10.1,23.1
0.6944,6.6,11.2,25
0.6947,8.08,14.5,37
0.6949,7.42,13.8,36.5
0.6952,7.16,13,33.2
0.6954,8.21,14.8,37.1
0.6957,7.32,13.7,35.9
0.6959,7.35,13.6,35.6
0.6961,7.35,13.4,34.7
0.6964,7.94,15,39
0.6966,9.5,18.8,41.4
0.6969,10.1,20.5,43.5
0.6971,10.5,21.2,43.7
0.6974,10.2,20.4,42.8
0.6976,10.2,20.2,42.2
0.6978,9.45,18.8,41.4
0.6981,9.12,18,40.8
0.6983,9.23,18.3,40.9
0.6986,8.65,16.7,39.8
0.6988,7.48,13.8,36
0.6991,6.57,11.7,29.1
0.6993,6.87,12.6,33.5
0.6995,7.17,13.4,35.9
0.6998,7.33,13.8,36.4
0.7,7.18,13.5,35.6
0.7003,7.12,13.5,35.7
0.7005,6.79,12.8,34.5
0.7008,6.56,12,31.6
0.701,7.22,13.4,34.5
0.7013,7,13,33.8
0.7015,7.05,13.1,34.5
0.7018,6.54,12.2,33.1
0.702,6.55,12.2,32.3
0.7022,7.3,13.7,35.6
0.7025,6.94,13.1,34.7
0.7027,6.3,11.4,29.9
0.703,6.72,12.5,33.3
0.7032,8.2,15.7,38.7
0.7035,9.04,18.3,41.2
0.7037,8.18,16.4,40.2
0.704,7.01,13.1,34.9
0.7042,7.25,13.6,35.4
0.7045,8.17,15.6,38.3
0.7047,8.24,16,39.1
0.705,8.34,16.2,38.7
0.7052,7.64,14.2,36.4
0.7055,7.46,13.7,35.7
0.7057,8.13,15.2,37.9
0.706,8.39,15.7,38.4
0.7062,8.56,16.2,38.7
0.7065,8.5,15.8,38.1
0.7067,8.46,15.5,37.6
0.707,9.09,17.8,40.6
0.7072,9.74,19.2,41.3
0.7075,9.61,18.6,40.3
0.7077,9.73,18.9,40.7
0.708,8.91,16.8,39.4
0.7082,9.06,17.2,39.6
0.7085,10.5,20.5,42
0.7087,10.6,20.6,42
0.709,9.72,18.6,40.1
0.7092,9.75,18.7,40.1
0.7095,10.2,19.1,40.2
0.7097,10.1,19,40.1
0.71,10,19.4,40.9
0.7102,9.92,19.1,40.8
0.7105,10.4,20.1,41.6
0.7107,10.4,20,41.2
0.711,10.2,19.4,40.3
0.7112,10.6,20.2,41
0.7115,11,21.2,42.2
0.7117,11.1,21.3,42
0.712,10.6,20.3,41.4
0.7123,10.5,20.1,41.3
0.7125,10.8,20.6,41.2
0.7128,10.8,20.4,41.2
0.713,10.2,19.1,39.7
0.7133,10.1,19.1,40.4
0.7135,10.6,20.1,41.2
0.7138,10.2,19.6,40.7
0.714,10.1,19.3,40.8
0.7143,9.92,18.8,39.9
0.7145,9.76,18.3,39.4
0.7148,9.21,17.2,38.9
0.7151,8.36,14.8,36
0.7153,8.33,14.7,35.5
0.7156,8.44,14.8,35
0.7158,7.98,13.9,32.1
0.7161,7.47,13.1,28.4
0.7163,6.97,12.2,24.4
0.7166,6.27,10,22.4
0.7168,5.4,8.15,15.7
0.7171,5.06,7.34,14.4
0.7174,4.78,6.6,13.9
0.7176,4.73,6.54,13.8
0.7179,4.69,6.57,13.9
0.7181,4.54,6.42,14
0.7184,4.49,6.49,13.9
0.7186,4.2,5.57,11.3
0.7189,4.12,5.45,12.1
0.7192,4.14,5.89,13.2
0.7194,3.97,5.41,11.3
0.7197,3.93,5.52,10.8
0.7199,3.85,5.6,11.3
0.7202,3.63,5.13,9.68
0.7205,3.59,5.04,9.57
0.7207,3.59,5.17,9.91
0.721,3.59,5.44,12.2
0.7212,3.52,5.96,13.7
0.7215,3.42,6.25,14.4
0.7218,3.29,6.18,14.5
0.722,3.23,6.04,14.2
0.7223,3.18,5.86,13.8
0.7225,3.13,5.5,12.9
0.7228,2.92,5.09,11.3
0.7231,2.81,5.03,10.7
0.7233,2.73,4.76,9.67
0.7236,2.58,4.36,7.57
0.7239,2.51,4.43,8.69
0.7241,2.36,4.31,8.6
0.7244,2.38,4.22,7.81
0.7246,2.2,4.13,7.89
0.7249,1.92,3.83,7.87
0.7252,1.81,3.66,7.79
0.7254,1.73,3.53,7.16
0.7257,1.59,3.31,7.33
0.726,1.49,3.16,7.6
0.7262,1.69,3.46,7.53
0.7265,1.81,3.61,7.26
0.7267,1.66,3.39,7.21
0.727,1.48,3.1,7.35
0.7273,1.41,2.98,7.09
0.7275,1.33,2.82,6.53
0.7278,1.49,3.1,6.35
0.7281,1.5,3.12,6.6
0.7283,1.64,3.37,7.77
0.7286,1.93,3.85,8.81
0.7289,2.02,3.99,8.74
0.7291,2,3.92,7.59
0.7294,2.03,3.98,7.72
0.7297,2.04,4.06,8.22
0.7299,2.13,4.21,9.25
0.7302,2.18,4.31,9.35
0.7305,2.37,4.44,8.52
0.7307,2.48,4.62,9.7
0.731,2.72,4.94,10.5
0.7313,2.9,4.99,9.66
0.7315,3.01,5.23,11.1
0.7318,3.19,5.29,11.3
0.7321,3.23,5.37,12
0.7323,3.29,5.92,13.9
0.7326,3.39,6.21,14.2
0.7329,3.34,6.02,13.9
0.7331,3.47,6.13,13.9
0.7334,3.71,6.28,14
0.7337,3.89,6.47,14.3
0.7339,4.13,7.34,16.9
0.7342,4.27,7.76,18.9
0.7345,4.39,7.6,18.1
0.7348,4.68,7.95,19.1
0.735,4.87,8.11,19.4
0.7353,4.89,8.37,20.6
0.7356,5.19,9.35,22.6
0.7358,5.45,9.55,22.7
0.7361,5.56,9.46,22.6
0.7364,5.66,9.51,22.3
0.7366,5.82,9.84,22.6
0.7369,5.75,9.77,22.7
0.7372,5.97,10.3,23.4
0.7375,6.68,12,24.5
0.7377,7.09,12.9,29.8
0.738,7.25,13.1,31
0.7383,7.11,12.6,28
0.7386,7.23,12.8,30.5
0.7388,8.08,14.5,34.9
0.7391,7.97,14.1,33.3
0.7394,8.05,14.1,33.3
0.7396,8.56,15,35.6
0.7399,8.8,15.5,36.1
0.7402,5.61,11.2,27.3
0.7405,5.64,11.5,29.9
0.7407,5.68,11.5,29.5
0.741,5.75,11.4,28.2
0.7413,5.87,11.7,30
0.7416,5.97,12,30.4
0.7418,6.15,12.5,32.2
0.7421,6.42,13.1,33.5
0.7424,6.71,13.5,33.8
0.7427,6.97,13.8,35.7
0.7429,7.28,14.6,37.6
0.7432,7.75,16,39.4
0.7435,8.05,16.6,39.7
0.7438,8.36,17.1,39.6
0.744,8.52,17.1,39.3
0.7443,8.8,17.5,39
0.7446,9.26,18.6,39.9
0.7449,9.66,19.4,40.8
0.7452,9.33,18.9,40.6
0.7454,8.59,17.5,39.8
0.7457,8.01,16.5,39.6
0.746,7.44,15.3,38.8
0.7463,6.98,14.5,38.2
0.7465,6.56,14,38.1
0.7468,6.13,13.2,37.3
0.7471,5.74,12.4,36
0.7474,5.44,11.9,35.5
0.7477,5.35,11.7,35.3
0.7479,5.37,11.7,35
0.7482,5.38,11.7,35.2
0.7485,5.41,11.8,35.2
0.7488,5.45,11.9,35.3
0.7491,5.48,12,35.6
0.7493,5.5,12,35.7
0.7496,5.53,12,35.7
0.7499,5.54,12,35.6
0.7502,5.57,12.1,35.6
0.7505,5.65,12.3,35.7
0.7508,5.74,12.5,35.9
0.751,5.84,12.7,36.3
0.7513,5.93,12.9,36.5
0.7516,6.04,13.1,36.8
0.7519,6.17,13.3,37.2
0.7522,6.29,13.5,37.5
0.7524,6.41,13.7,37.8
0.7527,6.53,13.9,36.7
0.753,6.75,14.3,36.8
0.7533,6.99,14.6,37.1
0.7536,7.26,14.9,37.4
0.7539,7.54,15.4,37.7
0.7541,7.84,15.9,38.2
0.7544,8.18,16.4,38.7
0.7547,8.52,17,39.4
0.755,8.89,17.5,39.6
0.7553,9.02,17.4,38.3
0.7556,9.12,17.4,38
0.7559,9.23,17.4,37.8
0.7561,9.35,17.5,37.6
0.7564,9.46,17.5,37.6
0.7567,9.58,17.6,37.6
0.757,9.69,17.8,37.8
0.7573,9.8,17.9,38
0.7576,9.66,17.7,39.2
0.7579,8.81,16.1,37.7
0.7582,8.08,14.7,35.9
0.7584,7.51,13.9,34.1
0.7587,7.01,13.2,31.8
0.759,6.58,12.5,29.5
0.7593,6.22,11.8,27.2
0.7596,5.92,11.2,25.3
0.7599,5.68,10.8,24.4
0.7602,5.53,10.5,24.3
0.7605,5.36,10.1,24.2
0.7607,5.21,9.87,24
0.761,5.09,9.69,23.9
0.7613,4.98,9.52,23.7
0.7616,4.87,9.35,23.6
0.7619,4.75,9.16,23.4
0.7622,4.65,9,23.3
0.7625,4.57,8.85,23.2
0.7628,4.66,9.05,23.4
0.7631,4.75,9.25,23.7
0.7634,4.84,9.45,23.9
0.7637,4.93,9.65,24.2
0.7639,5.02,9.84,24.4
0.7642,5.11,10.1,25
0.7645,5.21,10.3,26.3
0.7648,5.34,10.7,27.7
0.7651,5.43,10.9,28.6
0.7654,5.45,11,28.9
0.7657,5.49,11.1,29.2
0.766,5.51,11.1,29.3
0.7663,5.54,11.2,29.3
0.7666,5.54,11.2,29.4
0.7669,5.53,11.3,29.8
0.7672,5.52,11.3,30.2
0.7675,5.58,11.4,30.3
0.7678,5.63,11.4,29.6
0.768,5.64,11.3,29.1
0.7683,5.65,11.3,28.5
0.7686,5.63,11.2,28
0.7689,5.6,11.1,27.3
0.7692,5.57,10.9,26.4
0.7695,5.57,10.8,25.4
0.7698,5.56,10.7,24.5
0.7701,5.54,10.6,24.3
0.7704,5.61,10.8,24.3
0.7707,5.68,10.9,24.4
0.771,5.8,11.2,24.8
0.7713,5.97,11.5,25.8
0.7716,6.16,11.9,26.8
0.7719,6.33,12.1,27.5
0.7722,6.52,12.4,28.1
0.7725,6.69,12.6,28.9
0.7728,6.61,12.5,27.1
0.7731,6.5,12.2,25.8
0.7734,6.43,12,24.5
0.7737,6.47,12,24.4
0.774,6.6,12.1,24.5
0.7743,6.77,12.3,24.9
0.7746,6.91,12.4,25.5
0.7749,6.93,12.4,25
0.7752,6.91,12.3,24.3
0.7755,6.84,12.2,24.1
0.7758,6.83,12.2,24.1
0.7761,6.83,12.2,24
0.7764,6.83,12.2,24
0.7767,6.84,12.2,24
0.777,6.84,12.2,23.9
0.7773,6.8,12.1,23.9
0.7776,6.53,11.7,23.7
0.7779,5.89,10.6,23.2
0.7782,5.33,9.64,22.5
0.7785,4.86,8.95,21.6
0.7788,4.48,8.31,20.7
0.7791,4.15,7.77,19.5
0.7794,3.89,7.28,18.2
0.7797,3.64,6.78,16.7
0.78,3.42,6.43,15.2
0.7803,3.28,6.03,14.3
0.7806,3.12,5.65,13.6
0.7809,3.02,5.34,12.8
0.7812,2.97,5.17,12
0.7816,2.91,5,11
0.7819,2.85,4.85,9.97
0.7822,2.82,4.74,9.7
0.7825,2.77,4.6,9.41
0.7828,2.56,4.23,8.82
0.7831,2.36,3.92,8.07
0.7834,2.18,3.62,7.71
0.7837,2.03,3.36,7.29
0.784,1.91,3.17,6.84
0.7843,1.87,3.07,6.55
0.7846,1.85,2.99,6.43
0.7849,1.8,2.89,6.29
0.7852,1.8,2.87,6.26
0.7855,1.77,2.84,6.23
0.7859,1.76,2.81,6.19
0.7862,1.75,2.8,6.18
0.7865,1.74,2.79,6.16
0.7868,1.74,2.8,6.17
0.7871,1.74,2.8,6.19
0.7874,1.74,2.8,6.21
0.7877,1.73,2.79,6.18
0.788,1.73,2.78,6.19
0.7883,1.73,2.8,6.27
0.7886,1.73,2.81,6.35
0.789,1.74,2.85,6.45
0.7893,1.75,2.9,6.57
0.7896,1.76,2.96,6.77
0.7899,1.77,3.05,7.29
0.7902,1.79,3.05,7.23
0.7905,1.78,2.99,6.85
0.7908,1.78,2.95,6.6
0.7911,1.79,2.92,6.44
0.7915,1.79,2.9,6.37
0.7918,1.8,2.89,6.29
0.7921,1.81,2.9,6.19
0.7924,1.82,2.92,6.19
0.7927,1.85,3,6.36
0.793,1.88,3.08,6.47
0.7933,1.93,3.19,6.72
0.7937,2.01,3.33,7.28
0.794,2.09,3.47,7.64
0.7943,2.14,3.6,7.9
0.7946,2.2,3.75,8.17
0.7949,2.27,3.9,8.6
0.7952,2.32,4.01,8.78
0.7955,2.38,4.1,8.96
0.7959,2.43,4.19,9.08
0.7962,2.52,4.3,9.01
0.7965,2.58,4.4,9.09
0.7968,2.62,4.5,9.4
0.7971,2.65,4.58,9.61
0.7974,2.72,4.69,9.77
0.7978,2.79,4.83,9.95
0.7981,2.84,4.92,10.3
0.7984,2.93,5.03,10.6
0.7987,3.04,5.18,11.1
0.799,3.08,5.3,11.8
0.7994,3.2,5.52,12.4
0.7997,3.36,5.76,12.8
0.8,3.54,5.89,12.9
0.8003,3.61,6.01,13.2
0.8006,3.73,6.31,13.8
0.801,3.96,6.54,14.1
0.8013,4.11,6.7,14.3
0.8016,4.18,7,14.6
0.8019,4.31,7.47,15
0.8022,4.53,7.65,15.8
0.8026,4.71,7.81,16.5
0.8029,4.75,7.89,16.7
0.8032,4.86,8.18,18.2
0.8035,4.94,8.31,18.6
0.8039,4.93,8.21,18.3
0.8042,4.94,8.4,19
0.8045,4.93,8.15,18
0.8048,5.08,8.51,19.3
0.8052,5.31,9.14,20.8
0.8055,5.2,8.99,20.5
0.8058,5.15,8.95,20.5
0.8061,5.12,8.88,20.3
0.8065,5.05,8.64,19.7
0.8068,5.08,8.74,20
0.8071,5.1,8.72,19.9
0.8074,5.06,8.73,20.1
0.8078,5.09,8.86,20.4
0.8081,5.08,8.75,20
0.8084,5.12,8.73,19.9
0.8087,5.1,8.65,19.6
0.8091,5.02,8.52,19.3
0.8094,4.99,8.48,19.1
0.8097,4.98,8.33,18.4
0.81,5,8.25,17.5
0.8104,5,8.27,17.3
0.8107,4.98,8.14,16.7
0.811,4.94,7.95,15
0.8114,4.88,7.67,14.7
0.8117,4.97,7.93,15.4
0.812,5.04,8.09,16
0.8123,4.91,7.57,14.6
0.8127,4.93,7.52,14.5
0.813,4.94,7.55,14.6
0.8133,4.78,7,14.2
0.8137,4.75,6.59,13.3
0.814,4.9,7.1,14.1
0.8143,4.9,7.01,14
0.8147,4.88,6.72,13.3
0.815,4.82,6.53,13.3
0.8153,4.73,6.29,12.5
0.8157,4.81,6.6,13.3
0.816,4.85,6.84,13.6
0.8163,4.56,6.07,12.2
0.8167,4.51,5.97,12.1
0.817,4.58,6.22,12.8
0.8173,4.84,7.03,14.3
0.8177,4.96,7.37,14.4
0.818,4.62,6.24,13
0.8183,4.76,6.47,13.6
0.8187,4.96,7.17,14.3
0.819,4.86,6.82,13.9
0.8193,4.79,6.49,13.4
0.8197,4.98,7.25,14.4
0.82,4.9,6.79,14.1
0.8203,5.19,7.91,18
0.8207,6.49,10.2,21.7
0.821,6.55,10.4,22.1
0.8214,6.58,10.5,22.2
0.8217,6.43,10.2,22
0.822,5.87,9.12,19.8
0.8224,5.32,7.88,15
0.8227,4.81,6.39,13.4
0.823,4.46,5.27,9.05
0.8234,4.61,5.66,9.73
0.8237,5.19,7.36,14.1
0.8241,5.98,8.85,17.1
0.8244,5.64,8.59,17.8
0.8247,6,9.65,21.7
0.8251,7.33,11.9,23.2
0.8254,6.8,11,22.8
0.8258,5.61,8.58,18.8
0.8261,5.45,8.24,18.2
0.8264,5.99,9.32,20.9
0.8268,6.88,11.3,23.1
0.8271,6.91,11.5,23.2
0.8275,5.45,8.31,19.6
0.8278,5.23,7.44,14.5
0.8282,5.16,7.32,14.4
0.8285,5.65,8.8,20
0.8288,5.75,9.01,20.4
0.8292,5.62,8.71,19.6
0.8295,5.88,9.01,19.8
0.8299,6.16,9.63,21.4
0.8302,6.76,10.8,22.3
0.8306,5.62,8.68,19.4
0.8309,6.25,10.1,22.4
0.8313,7.05,11.3,22.8
0.8316,6.4,9.69,20.8
0.8319,6.1,9.11,18.9
0.8323,5.74,8.8,19.4
0.8326,6.69,11.2,23.1
0.833,7.12,11.5,23
0.8333,6.42,9.67,20.6
0.8337,6.69,10.1,21.3
0.834,6.55,10.2,21.6
0.8344,6.59,10.6,22.4
0.8347,7.2,11.8,23.3
0.8351,6.88,11.4,23
0.8354,6.31,9.9,21.5
0.8358,6,9.53,20.9
0.8361,5.95,9.61,21.3
0.8365,6.13,10.1,22.1
0.8368,6.02,9.99,22.1
0.8372,6.09,10.1,22.2
0.8375,5.79,9.64,21.7
0.8379,5.69,9.35,21.2
0.8382,5.74,10,22.7
0.8386,5.51,9.64,22.2
0.8389,5.48,9.53,22.1
0.8393,5.88,10.6,23.3
0.8396,6.02,10.6,23.1
0.84,6.09,10.6,22.9
0.8403,6.19,11,23.3
0.8407,5.79,10.2,22.7
0.841,5.24,9.2,21.7
0.8414,5,9.06,21.9
0.8418,5.05,9.09,21.7
0.8421,5.03,9.06,21.8
0.8425,5.64,10.3,22.9
0.8428,6.37,11.3,23.4
0.8432,6.59,11.6,23.5
0.8435,6.41,11.4,23.4
0.8439,6.1,10.9,23.1
0.8442,5.88,10.5,22.9
0.8446,6.1,11,23.2
0.845,6.47,11.6,23.5
0.8453,6.74,11.8,23.5
0.8457,6.93,12,23.6
0.846,6.96,12,23.5
0.8464,6.97,11.9,23.5
0.8467,7.08,12.2,23.6
0.8471,7.13,12.2,23.7
0.8475,7.02,12.1,23.6
0.8478,7.03,12,23.5
0.8482,6.99,11.9,23.5
0.8485,7.1,12.1,23.6
0.8489,7.3,12.3,23.6
0.8493,7.3,12.3,23.6
0.8496,7.3,12.3,23.6
0.85,7.22,12.2,23.5
0.8503,7.05,11.9,23.2
0.8507,6.96,11.7,23
0.8511,6.75,11.3,22.7
0.8514,6.49,10.8,22.3
0.8518,6.39,10.5,22
0.8522,6.21,10.2,21.7
0.8525,6,9.88,21.5
0.8529,5.9,9.83,21.3
0.8532,5.6,9.61,21.2
0.8536,5.31,9.26,20.7
0.854,5.16,8.96,20.1
0.8543,4.96,8.76,19.8
0.8547,4.61,8.41,19.8
0.8551,4.48,8.14,19.3
0.8554,4.43,7.94,18
0.8558,4.2,7.56,16.2
0.8562,3.86,7.12,14.9
0.8565,3.61,6.65,14.6
0.8569,3.32,6.16,14.1
0.8573,3,5.6,13.3
0.8576,2.81,5.2,12.6
0.858,2.65,4.93,11.7
0.8584,2.52,4.7,10.8
0.8587,2.49,4.61,10.2
0.8591,2.45,4.5,9.87
0.8595,2.31,4.24,9.49
0.8598,2.19,4.03,8.97
0.8602,1.96,3.67,8.21
