"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-16.39,-18.59,-45.91,5.62,0.03,21
-16.29,-18.48,-44.46,5.75,0.03,20
-16.19,-18.37,-43.31,6.2,0.03,20
-16.09,-18.26,-41.29,6.75,0.03,23
-15.99,-18.15,-39.25,6.93,0.03,14
-15.89,-18.03,-36.69,7.12,0.03,18
-15.79,-17.92,-35,7.03,0.03,18
-15.69,-17.81,-32.86,6.84,0.03,19
-15.59,-17.7,-30.76,6.07,0.03,16
-15.49,-17.59,-28.64,5.38,0.03,19
-15.39,-17.47,-26.36,5.13,0.03,18
-15.29,-17.36,-24.46,5.21,0.03,16
-15.19,-17.25,-22.59,5.2,0.03,16
-15.09,-17.14,-20.81,5.05,0.03,17
-14.99,-17.03,-18.69,4.84,0.03,17
-14.89,-16.92,-15.93,4.46,0.03,17
-14.79,-16.81,-13.51,4.03,0.03,20
-14.69,-16.69,-11.32,3.83,0.03,18
-14.59,-16.57,-9.22,3.45,0.03,17
-14.49,-16.46,-7.07,3.32,0.03,10
-14.39,-16.35,-4.93,3,0.03,17
-14.29,-16.24,-3.13,2.96,0.03,12
-14.19,-16.12,-1.79,2.7,0.03,16
-14.09,-16.02,-0.19,2.38,0.03,16
-13.99,-15.9,1.51,2.49,0.03,14
-13.9,-15.8,3.57,2.54,0.03,15
-13.8,-15.68,5.49,2.75,0.03,16
-13.69,-15.57,7.12,2.75,0.03,15
-13.59,-15.46,8.58,3.13,0.03,16
-13.49,-15.34,9.77,3.49,0.03,14
-13.4,-15.24,11.18,3.54,0.03,16
-13.3,-15.12,13.48,2.91,0.03,12
-13.2,-15.01,16.44,2.3,0.03,15
-13.09,-14.89,19.27,2.19,0.03,17
-12.99,-14.78,21.09,2.31,0.03,15
-12.89,-14.67,22.33,2.74,0.03,15
-12.79,-14.55,23.51,3.07,0.03,12
-12.69,-14.44,24.7,3.16,0.03,16
-12.59,-14.33,25.94,2.85,0.03,17
-12.49,-14.22,26.96,2.67,0.03,12
-12.39,-14.11,28.15,2.8,0.03,16
-12.3,-14,29.2,3.18,0.03,14
-12.19,-13.88,30.29,3.48,0.03,17
-12.09,-13.77,31.41,4.23,0.03,16
-11.99,-13.65,32.49,4.86,0.03,13
-11.89,-13.54,33.38,5.45,0.03,16
-11.79,-13.43,33.81,5.91,0.03,15
-11.69,-13.32,33.9,6.29,0.03,14
-11.6,-13.21,34.36,6.47,0.03,17
-11.5,-13.09,35.19,6.01,0.03,14
-11.39,-12.98,36.37,5.27,0.03,14
-11.29,-12.86,36.96,4.56,0.03,13
-11.19,-12.75,37.35,4.05,0.03,11
-11.09,-12.63,37.48,3.94,0.03,13
-10.99,-12.52,38.19,4.1,0.03,11
-10.89,-12.4,38.13,4.51,0.03,13
-10.79,-12.29,38.05,4.71,0.03,18
-10.69,-12.18,36.99,4.8,0.03,15
-10.59,-12.07,37.34,4.37,0.03,16
-10.5,-11.96,37.68,4.04,0.03,13
-10.4,-11.85,38.06,3.73,0.03,13
-10.29,-11.73,37.47,3.75,0.03,12
-10.19,-11.61,37.19,3.77,0.03,15
-10.09,-11.5,37.66,3.71,0.03,17
-9.99,-11.39,38.49,3.67,0.03,14
-9.89,-11.28,39.17,3.69,0.03,18
-9.79,-11.16,39.14,3.63,0.03,13
-9.69,-11.05,38.6,3.68,0.03,15
-9.59,-10.93,38.29,4.09,0.03,15
-9.49,-10.82,38.34,4.54,0.03,14
-9.39,-10.71,38.79,4.91,0.03,17
-9.29,-10.59,39.22,5.2,0.03,16
-9.19,-10.48,39.8,5.59,0.03,13
-9.09,-10.36,40.7,6.19,0.03,16
-8.99,-10.25,41.93,6.73,0.03,15
-8.89,-10.14,43.82,6.98,0.03,14
-8.79,-10.03,46.56,6.34,0.03,15
-8.69,-9.92,49.79,5.21,0.03,15
-8.59,-9.8,53.53,5.12,0.03,16
-8.49,-9.69,58.48,6.17,0.03,12
-8.39,-9.57,62.63,7.01,0.03,16
-8.29,-9.46,67.49,6.95,0.03,17
-8.19,-9.34,71.35,6.18,0.03,18
-8.09,-9.23,75.74,6.02,0.03,18
-7.99,-9.12,80.17,6.36,0.03,17
-7.89,-9.01,85.38,7.5,0.03,20
-7.79,-8.89,92.53,7.75,0.03,20
-7.69,-8.78,99.24,7.37,0.03,18
-7.59,-8.67,104.96,6.08,0.03,18
-7.49,-8.55,109.54,5.85,0.03,19
-7.39,-8.44,114.05,6.42,0.03,21
-7.29,-8.33,119.18,7.52,0.03,20
-7.19,-8.21,124.49,7.62,0.03,17
-7.09,-8.09,128.2,6.84,0.03,21
-6.99,-7.98,130.71,6.01,0.03,21
-6.89,-7.86,132.28,5.8,0.03,21
-6.79,-7.75,135.1,5.62,0.03,17
-6.69,-7.64,137.74,5.33,0.03,16
-6.59,-7.53,141.09,5.03,0.03,18
-6.5,-7.42,143.87,4.1,0.03,20
-6.39,-7.3,145.99,2.88,0.03,17
-6.29,-7.19,146.1,1.95,0.03,14
-6.19,-7.07,145.32,2.34,0.03,16
-6.09,-6.95,144.17,3.29,0.03,23
-5.99,-6.84,142.82,3.93,0.03,17
-5.88,-6.72,141.04,4.05,0.03,21
-5.78,-6.61,138.88,4.01,0.03,17
-5.68,-6.49,136.16,4.14,0.03,14
-5.59,-6.38,133.17,4.35,0.03,17
-5.49,-6.27,130.65,4.47,0.03,19
-5.38,-6.15,128.25,4.22,0.03,21
-5.29,-6.04,125.38,3.91,0.03,18
-5.19,-5.93,121.96,3.87,0.03,16
-5.09,-5.81,119.19,4.74,0.03,21
-4.99,-5.7,116.27,5.51,0.03,18
-4.89,-5.59,114.28,6.26,0.03,20
-4.79,-5.47,111.42,5.65,0.03,19
-4.69,-5.36,108.38,5.37,0.03,15
-4.58,-5.24,104.58,4.58,0.03,16
-4.48,-5.12,101.38,4.82,0.03,16
-4.39,-5.01,100.07,4.34,0.03,18
-4.29,-4.9,98.1,5,0.03,14
-4.19,-4.79,96.79,4.93,0.03,18
-4.09,-4.68,95,5.24,0.03,19
-3.99,-4.56,93.77,4.41,0.03,16
-3.89,-4.45,92.26,4.16,0.03,17
-3.79,-4.33,90.98,4.08,0.03,17
-3.69,-4.22,89.68,4.42,0.03,17
-3.59,-4.1,88.42,4.6,0.03,18
-3.49,-3.99,86.95,4.91,0.03,16
-3.39,-3.88,86.06,4.72,0.03,18
-3.3,-3.77,85.15,4.47,0.03,16
-3.19,-3.65,84.38,4.15,0.03,17
-3.09,-3.53,83.77,3.98,0.03,19
-2.99,-3.42,83.31,3.93,0.03,15
-2.89,-3.3,82.67,3.89,0.03,18
-2.79,-3.19,81.89,3.65,0.03,17
-2.69,-3.07,80.57,3.31,0.03,16
-2.59,-2.96,79.5,3.08,0.03,18
-2.49,-2.85,78.54,3.35,0.03,16
-2.39,-2.73,77.73,3.9,0.03,21
-2.29,-2.62,76.86,4.05,0.03,18
-2.19,-2.5,75.95,3.87,0.03,17
-2.09,-2.39,75.64,3.53,0.03,20
-1.99,-2.28,75.23,3.4,0.03,20
-1.89,-2.16,74.92,3.42,0.03,22
-1.79,-2.05,73.94,3.89,0.03,21
-1.69,-1.93,73.12,4.54,0.03,19
-1.59,-1.81,72.65,4.84,0.03,18
-1.49,-1.7,72.33,4.69,0.03,18
-1.39,-1.58,71.56,4.37,0.03,20
-1.28,-1.47,70.32,4.29,0.03,22
-1.18,-1.35,68.83,4.12,0.03,18
-1.09,-1.24,68.27,3.69,0.03,18
-0.99,-1.13,68.04,3.29,0.03,18
-0.89,-1.01,68.69,2.95,0.03,14
-0.78,-0.9,69.33,2.77,0.03,17
-0.68,-0.78,69.76,2.76,0.03,17
-0.58,-0.66,69.77,3.13,0.03,18
-0.48,-0.55,69.35,3.65,0.03,18
-0.38,-0.44,69,4.07,0.03,13
-0.29,-0.33,68.68,4.16,0.03,15
-0.19,-0.21,68.41,4.1,0.03,19
-0.09,-0.1,68.09,4,0.02,17
-0,-0,68,4.09,0.02,12
0.09,0.1,67.82,4.43,0.03,19
0.19,0.21,68.01,4.42,0.03,17
0.29,0.33,68.06,4.5,0.03,15
0.38,0.44,68.11,4.77,0.03,14
0.48,0.55,68,5.66,0.03,15
0.58,0.67,68.28,6.25,0.03,19
0.68,0.78,68.83,6.18,0.03,16
0.79,0.9,68.64,5.32,0.03,15
0.89,1.01,69.48,5.41,0.03,14
0.99,1.13,70.69,5.36,0.03,17
1.09,1.25,72.04,5.45,0.03,22
1.19,1.36,71.76,4.88,0.03,19
1.29,1.47,70.92,5.61,0.03,17
1.39,1.58,72.13,6.71,0.03,19
1.49,1.7,72.75,6.23,0.03,17
1.59,1.82,73.57,4.8,0.03,14
1.69,1.93,72.95,3.7,0.03,13
1.78,2.04,72.98,4.13,0.03,16
1.88,2.15,73.51,4.99,0.03,17
1.98,2.27,74.66,6.18,0.03,13
2.09,2.38,76.63,5.07,0.03,13
2.19,2.5,78.5,3.88,0.03,11
2.29,2.62,79.53,2.17,0.03,15
2.39,2.73,80.06,2.68,0.03,19
2.49,2.85,79.93,3.39,0.03,15
2.59,2.96,81.49,4.8,0.03,15
2.69,3.08,82.61,5.75,0.03,14
2.79,3.19,84.51,5.86,0.03,16
2.89,3.3,85.36,4.3,0.03,11
2.99,3.41,86.97,3.18,0.03,15
3.09,3.53,88.35,2.22,0.03,20
3.19,3.65,89.26,2.29,0.03,17
3.29,3.76,89.4,2.42,0.03,17
3.39,3.88,88.98,3.26,0.03,18
3.49,3.99,90.14,5.29,0.03,19
3.59,4.1,92.01,6.67,0.03,19
3.69,4.22,94.11,7.24,0.03,18
3.79,4.33,94.54,6.18,0.03,17
3.89,4.44,94.41,5.81,0.03,16
3.99,4.56,95.18,7.36,0.03,15
4.09,4.67,95.36,8.39,0.03,24
4.18,4.78,95.03,8.28,0.03,21
4.28,4.9,94.88,6.78,0.03,12
4.39,5.01,96.84,5.5,0.03,9
4.49,5.13,98.86,5.07,0.03,10
4.59,5.24,100.24,5.51,0.03,9
4.68,5.35,100.25,6.41,0.03,18
4.78,5.47,100.7,7.12,0.03,16
4.88,5.58,101.63,7.17,0.03,15
4.98,5.69,102.45,7.05,0.03,12
5.09,5.81,103.15,6.37,0.03,17
5.19,5.93,102.67,5.91,0.03,15
5.29,6.04,102.57,6.05,0.03,12
5.39,6.16,104.37,7,0.03,7
5.49,6.28,105.77,7.1,0.03,15
5.59,6.39,107.17,7.19,0.03,13
5.69,6.5,106.26,6.9,0.03,14
5.79,6.61,105.82,6.63,0.03,17
5.89,6.72,105.82,5.72,0.03,12
5.99,6.84,106.58,5.06,0.03,12
6.09,6.95,108.04,4.66,0.03,13
6.19,7.07,108.07,4.67,0.03,19
6.29,7.18,107.96,4.69,0.03,20
6.39,7.3,107.63,4.73,0.03,18
6.49,7.41,108.09,4.81,0.03,17
6.59,7.52,108.99,5.02,0.03,20
6.69,7.64,108.74,5.13,0.03,23
6.79,7.75,108.51,4.97,0.03,14
6.89,7.86,107.8,4.52,0.03,20
6.98,7.98,107.97,3.7,0.03,23
7.09,8.09,107.54,3,0.03,21
7.19,8.21,106.93,2.31,0.03,13
7.29,8.32,105.71,2.1,0.03,19
7.39,8.43,103.95,2.22,0.03,19
7.49,8.55,102.43,2.76,0.03,15
7.59,8.66,101.18,3.29,0.03,23
7.69,8.77,101.22,3.94,0.03,23
7.79,8.89,100.46,4.51,0.03,16
7.89,9.01,99.81,4.92,0.03,22
7.99,9.12,99.15,4.96,0.03,21
8.09,9.23,98.71,4.58,0.03,22
8.19,9.35,98.18,4.02,0.03,15
8.29,9.46,97.03,3.29,0.03,16
8.39,9.58,96.14,2.62,0.03,19
8.49,9.69,94.95,2.38,0.03,16
8.59,9.8,93.19,2.41,0.03,19
8.69,9.92,91.22,2.58,0.03,14
8.79,10.03,89.57,3.03,0.03,19
8.89,10.15,87.67,3.75,0.03,21
8.99,10.26,84.33,4.47,0.03,12
9.1,10.37,79.54,5.04,0.03,17
9.2,10.49,74.73,5.15,0.03,18
9.3,10.6,71.43,5.68,0.03,9
9.39,10.71,68.84,4.94,0.03,18
9.49,10.82,66.79,4.22,0.03,17
9.59,10.94,65.13,2.94,0.03,19
9.69,11.05,64.27,2.8,0.03,15
9.79,11.16,63.12,3.28,0.03,15
9.89,11.27,61.48,3.62,0.03,18
9.99,11.39,59.61,3.68,0.03,15
10.09,11.5,58.73,3.3,0.03,20
10.19,11.61,58.33,3.49,0.03,18
10.29,11.72,57.3,4.2,0.03,16
10.39,11.84,54.58,4.75,0.03,13
10.49,11.95,51.66,4.48,0.03,14
10.59,12.07,49.07,3.57,0.03,15
10.7,12.19,47.4,3.22,0.03,15
10.8,12.31,44.8,4.35,0.03,12
10.9,12.42,41.63,5.73,0.03,14
11,12.53,37.15,6.32,0.03,13
11.09,12.64,32.95,6.18,0.03,16
11.2,12.75,28.72,5.88,0.03,18
11.3,12.87,26.05,5.34,0.03,17
11.4,12.98,23.98,4.17,0.03,21
11.49,13.09,22.51,3.17,0.03,20
11.59,13.2,20.78,2.82,0.03,23
11.69,13.31,18.7,2.69,0.03,17
11.79,13.42,16.93,2.42,0.03,20
11.89,13.54,14.84,2.09,0.03,18
11.99,13.65,13.16,2.11,0.03,19
12.09,13.77,11.59,2.53,0.03,23
12.19,13.88,10.57,2.9,0.03,21
12.29,13.99,9.46,3.05,0.03,17
12.39,14.1,7.97,3,0.03,18
12.49,14.21,6.25,2.89,0.03,20
12.59,14.33,4.34,2.67,0.03,20
12.69,14.44,2.59,2.35,0.03,19
12.79,14.56,1.05,2.12,0.03,23
12.89,14.67,-0.15,2.03,0.03,22
12.99,14.78,-0.84,1.95,0.03,23
13.09,14.89,-1.46,1.92,0.03,22
13.19,15,-2.33,2,0.03,20
13.29,15.12,-3.85,2.18,0.03,19
13.4,15.23,-5.18,2.39,0.03,24
13.49,15.35,-6.54,2.5,0.03,22
13.59,15.45,-7.47,2.7,0.03,21
13.69,15.57,-8.67,2.94,0.03,24
13.79,15.68,-9.31,3.29,0.03,27
13.89,15.79,-10.08,3.68,0.03,30
13.99,15.91,-11.62,3.76,0.03,26
14.09,16.02,-13.67,3.76,0.03,22
14.19,16.13,-15.48,3.35,0.03,27
14.29,16.24,-16.15,3.17,0.03,21
14.39,16.35,-16.29,3.24,0.03,23
14.49,16.46,-16.55,3.6,0.03,24
14.59,16.57,-17.23,3.79,0.03,23
14.69,16.69,-17.98,3.64,0.03,24
14.79,16.81,-18.85,3.13,0.03,30
14.9,16.92,-19.1,2.85,0.03,28
15,17.03,-19.15,2.77,0.03,24
15.1,17.14,-19.05,2.75,0.03,26
15.19,17.25,-19.13,2.68,0.03,29
15.29,17.36,-19.39,2.44,0.03,25
15.39,17.48,-19.78,2.36,0.03,27
15.49,17.59,-20.4,2.2,0.03,22
15.59,17.7,-20.34,2.54,0.03,20
15.69,17.81,-19.72,2.79,0.03,27
15.79,17.92,-18.59,3.17,0.03,23
15.89,18.03,-17.8,3.16,0.03,29
15.99,18.14,-16.95,3.21,0.03,25
16.09,18.25,-15.8,3.08,0.03,30
16.19,18.37,-14.27,2.46,0.03,25
16.29,18.48,-12.8,2.04,0.03,24
16.39,18.59,-10.7,1.88,0.03,24
16.5,18.71,-8.55,2.11,0.03,24
16.6,18.82,-6.06,2.22,0.03,28
16.7,18.93,-3.84,2.56,0.03,21
16.79,19.04,-1.22,2.96,0.03,21
16.89,19.15,1.76,3.17,0.03,25
16.99,19.26,5.02,2.79,0.03,16
17.09,19.37,7.62,2.32,0.03,18
17.19,19.48,10.04,2.11,0.03,21
17.29,19.59,12.61,2.04,0.03,22
17.39,19.7,15.83,2.06,0.03,20
17.49,19.82,19.41,1.92,0.03,17
17.59,19.93,22.71,1.84,0.03,20
17.69,20.04,26.22,2.05,0.03,15
17.79,20.16,30.02,2.48,0.03,19
17.9,20.27,33.73,3.14,0.03,21
18,20.38,37.39,3.8,0.03,18
18.09,20.48,40.5,4.37,0.03,20
18.19,20.59,44.1,5.29,0.03,19
18.29,20.71,49.85,5.4,0.03,21
18.4,20.82,55.76,5.19,0.03,20
18.5,20.94,61.72,4.35,0.03,20
18.6,21.05,65.87,4.02,0.03,24
18.7,21.16,70.84,4.5,0.03,13
18.8,21.27,75.9,5.1,0.03,17
18.89,21.38,80.98,5.85,0.03,16
18.99,21.49,86.55,5.08,0.03,17
19.09,21.59,91.31,4.5,0.03,15
19.19,21.7,96.85,4.62,0.03,16
19.29,21.81,102.36,4.36,0.03,13
19.39,21.93,108.78,4.45,0.03,11
19.49,22.04,114.26,3.75,0.03,11
19.59,22.15,118.25,3.61,0.03,13
19.7,22.26,121.38,2.87,0.03,16
19.8,22.37,124.08,2.08,0.03,15
19.9,22.48,126.96,1.96,0.03,16
20,22.6,130.21,2.16,0.03,17
20.1,22.71,133.48,2.43,0.03,15
20.2,22.82,136.41,2.89,0.03,16
20.3,22.93,139.05,3.04,0.03,18
20.39,23.03,141.42,2.86,0.03,26
20.49,23.14,144.55,2.67,0.03,15
20.59,23.25,147.43,2.52,0.03,18
20.69,23.36,150.01,2.45,0.03,21
20.79,23.47,151.15,2.26,0.03,26
20.89,23.58,151.84,1.97,0.03,24
20.99,23.69,151.82,1.75,0.03,24
21.09,23.8,151.24,1.74,0.03,29
21.2,23.91,149.9,1.94,0.03,25
21.3,24.03,148.13,2.43,0.02,22
21.4,24.13,145.73,3.24,0.03,25
21.49,24.24,141.1,5.48,0.03,21
21.59,24.35,132.78,5.74,0.03,20
21.69,24.46,123.73,5.43,0.03,13
21.79,24.57,115.97,3.88,0.03,19
21.89,24.68,110.98,3.59,0.03,21
21.99,24.79,106.5,3.5,0.03,24
22.09,24.9,101.46,3.22,0.03,21
22.19,25.01,96.17,3.2,0.03,15
22.3,25.12,90.36,3.13,0.03,18
22.4,25.24,84.79,2.72,0.03,15
22.5,25.35,79.63,2.87,0.03,16
22.6,25.45,75.52,3,0.03,23
22.7,25.56,72.1,3.37,0.03,26
22.8,25.67,67.8,3.07,0.03,21
22.9,25.78,62.83,2.75,0.03,18
22.99,25.89,57.83,2.55,0.03,22
23.09,25.99,53.8,2.68,0.03,20
23.19,26.1,50.23,2.88,0.03,23
23.3,26.22,47.06,3.12,0.03,22
23.4,26.33,44.33,3.22,0.03,22
23.5,26.43,41.87,3.31,0.03,21
23.59,26.54,39.31,2.97,0.03,23
23.7,26.65,37.11,2.81,0.03,30
23.8,26.76,35.12,2.6,0.03,24
23.9,26.87,33.52,2.49,0.03,24
24,26.98,31.95,2.33,0.03,24
24.1,27.09,30.47,2.04,0.02,27
24.2,27.2,29.25,1.88,0.02,26
24.29,27.3,28.15,1.79,0.03,25
24.39,27.41,27.37,1.68,0.03,27
24.49,27.52,26.59,1.58,0.03,22
24.59,27.62,26.18,1.59,0.03,26
24.69,27.73,25.67,1.66,0.03,20
24.79,27.84,25.19,1.79,0.03,22
24.89,27.95,24.54,1.78,0.03,23
24.99,28.06,23.84,1.84,0.02,22
25.09,28.17,22.93,2,0.03,23
25.19,28.28,21.65,2.22,0.03,23
25.3,28.39,19.95,2.48,0.03,22
25.4,28.5,17.69,2.54,0.02,23
25.5,28.61,15.33,2.64,0.03,23
25.6,28.72,12.87,2.63,0.03,20
25.7,28.83,10.59,2.72,0.03,20
25.8,28.93,8.31,2.88,0.02,19
25.9,29.04,6.19,3.05,0.02,21
25.99,29.15,4.05,3.1,0.03,19
26.09,29.25,2.1,2.8,0.03,21
26.2,29.36,0.09,2.5,0.03,21
26.3,29.47,-2.06,2.69,0.03,19
26.4,29.58,-4.87,3.3,0.03,19
26.5,29.69,-8.44,3.97,0.03,11
26.6,29.79,-12.17,4.66,0.03,15
26.7,29.9,-14.87,5.05,0.03,19
26.8,30.01,-16.66,5.7,0.02,19
26.9,30.12,-17.05,5.61,0.02,20
26.99,30.22,-18.08,5.6,0.02,14
27.09,30.33,-19.54,5.7,0.03,17
27.19,30.44,-21.49,5.82,0.03,17
27.29,30.54,-22.92,6.23,0.03,18
27.39,30.65,-23.92,6.11,0.03,20
27.49,30.76,-25.27,6.45,0.03,19
27.6,30.87,-27.86,6.12,0.03,17
27.7,30.98,-30.76,5.5,0.03,13
27.8,31.09,-32.74,4.28,0.03,13
27.9,31.2,-33.94,3.85,0.03,15
28,31.3,-32.87,4.29,0.03,8
28.1,31.4,-32.23,5.4,0.03,15
28.2,31.51,-30.46,5.69,0.03,14
28.3,31.62,-29.64,5.8,0.02,14
28.4,31.73,-28.3,5.6,0.02,17
28.49,31.83,-26.69,6.17,0.02,19
28.6,31.94,-24.44,6.92,0.02,20
28.7,32.05,-21.78,7.4,0.03,18
28.8,32.16,-18.4,7.18,0.03,14
28.9,32.26,-15.71,6.19,0.03,11
28.99,32.36,-13.26,5.17,0.03,17
29.09,32.47,-11.46,4.42,0.03,20
29.2,32.58,-9.76,3.84,0.03,18
29.3,32.69,-8.04,3.7,0.03,16
29.39,32.79,-6.42,3.82,0.02,18
29.49,32.9,-3.93,3.73,0.03,15
29.59,33,-1.69,3.68,0.03,19
29.7,33.11,0.96,3.6,0.03,19
29.8,33.22,3.74,3.54,0.03,14
29.9,33.33,6.87,3.29,0.03,14
30,33.44,9.9,2.93,0.03,14
30.1,33.54,12.45,2.92,0.03,14
30.2,33.65,14.88,3.19,0.03,11
30.3,33.76,17.13,3.32,0.02,11
30.4,33.86,19.17,3.49,0.02,15
30.5,33.96,21.35,3.54,0.02,12
30.6,34.07,23.53,3.36,0.03,12
30.7,34.18,26.04,3.07,0.03,13
30.8,34.28,28.33,2.42,0.03,12
30.9,34.39,30.15,2.08,0.03,21
31,34.49,30.98,1.9,0.03,19
31.1,34.6,31.2,2.06,0.03,19
31.2,34.7,31.1,2.23,0.03,19
31.3,34.81,30.99,2.14,0.03,17
31.4,34.91,30.73,1.97,0.03,19
31.5,35.02,30.38,2.01,0.03,19
31.6,35.12,30.01,2.4,0.03,16
31.7,35.23,29.78,2.86,0.03,13
31.79,35.33,29.65,3.16,0.02,18
31.89,35.44,29.95,3.6,0.03,17
31.99,35.54,30.38,4.31,0.03,17
32.1,35.65,30.47,5.28,0.03,20
32.2,35.76,30.46,5.95,0.03,18
32.3,35.86,30.17,6.5,0.03,17
32.4,35.97,30.07,7.11,0.03,15
32.5,36.07,30.6,7.75,0.03,15
32.6,36.17,31.49,8.38,0.02,15
32.7,36.28,31.51,8.89,0.02,16
32.8,36.39,30.84,9.13,0.03,16
32.9,36.49,29.68,9.36,0.03,21
33,36.6,28.75,9.62,0.03,16
33.1,36.7,26.79,9.97,0.03,17
33.2,36.81,23.72,10.04,0.02,14
33.3,36.92,20.74,9.19,0.03,14
33.4,37.02,17.78,7.97,0.03,18
33.5,37.12,15.72,6.7,0.03,17
33.6,37.22,14.15,6.2,0.03,22
33.7,37.33,12.77,6.41,0.03,19
33.8,37.43,9.96,6.84,0.03,19
33.9,37.54,6.09,6.13,0.03,14
34,37.64,2.12,4.83,0.03,17
34.1,37.75,-0.91,3.31,0.03,18
34.2,37.85,-2.92,2.87,0.03,19
34.3,37.95,-4.72,3.02,0.03,21
34.39,38.06,-6.03,3.52,0.03,21
34.5,38.16,-8.47,4.58,0.02,18
34.6,38.27,-11.07,5.45,0.03,22
34.7,38.38,-13.15,6.08,0.03,19
34.8,38.48,-14.2,5.89,0.03,16
34.9,38.58,-14.6,5.87,0.03,17
35,38.68,-15.89,6.26,0.03,12
35.1,38.79,-16.71,7.12,0.03,16
35.2,38.89,-16.5,7.51,0.03,11
35.3,39,-15.49,7.46,0.02,16
35.4,39.1,-15.28,7.3,0.03,15
35.5,39.21,-17.1,7.52,0.02,14
35.6,39.31,-19.42,7.56,0.02,10
35.7,39.41,-20.36,7.25,0.02,13
35.8,39.51,-20.41,6.37,0.03,15
35.9,39.61,-19.66,5.35,0.02,15
36,39.72,-18.46,4.81,0.02,16
36.1,39.82,-16.56,4.63,0.02,18
36.2,39.93,-14.32,4.53,0.03,19
36.3,40.04,-12.41,3.83,0.03,17
36.4,40.14,-10.65,3.48,0.03,17
36.5,40.24,-8.85,3.19,0.03,15
36.6,40.34,-7.79,3.28,0.03,16
36.7,40.44,-6.99,3.3,0.02,17
36.79,40.54,-6.49,3.38,0.02,16
36.9,40.65,-5.77,3.42,0.03,22
37,40.75,-4.94,3.2,0.03,16
37.1,40.86,-3.92,3,0.03,18
37.2,40.96,-2.92,2.77,0.02,17
37.3,41.06,-1.76,2.67,0.02,16
37.4,41.16,-0.71,2.82,0.03,19
37.5,41.26,0.53,2.86,0.03,17
37.6,41.37,2.2,3.14,0.03,17
37.7,41.47,3.64,3.44,0.03,16
37.8,41.57,5.23,3.99,0.03,19
37.89,41.67,6.34,4.19,0.03,20
38,41.78,7.7,4.19,0.03,15
38.1,41.88,9.02,4.46,0.03,13
38.2,41.98,11.18,4.33,0.03,14
38.3,42.09,13.35,4.3,0.03,15
38.4,42.19,15.53,3.62,0.03,16
38.5,42.29,16.54,3.13,0.03,22
38.6,42.39,17.11,2.47,0.02,19
38.7,42.49,17.21,2.11,0.02,18
38.8,42.59,17.3,2.15,0.02,16
38.9,42.7,17.19,2.28,0.03,19
39,42.8,16.97,2.18,0.03,21
39.1,42.9,16.55,1.98,0.03,17
39.2,43.01,15.62,1.87,0.02,17
39.3,43.11,14.46,2.03,0.02,18
39.4,43.21,12.82,2.43,0.02,18
39.5,43.31,11.28,2.73,0.02,16
39.6,43.41,9.54,2.97,0.03,18
39.7,43.51,8.02,2.83,0.03,16
39.8,43.61,6.79,2.81,0.03,18
39.9,43.72,5.69,2.45,0.03,16
40,43.81,4.84,2.25,0.02,19
40.09,43.91,4.23,1.99,0.02,19
40.2,44.02,3.93,1.94,0.02,20
40.3,44.12,3.4,1.87,0.02,17
40.4,44.22,2.88,2.02,0.03,16
40.5,44.33,2.19,2.29,0.02,15
40.6,44.43,1.96,2.71,0.03,15
40.7,44.53,1.75,2.86,0.03,12
40.8,44.63,1.76,2.84,0.03,15
40.9,44.73,1.79,2.75,0.03,17
41,44.83,1.9,2.6,0.02,14
41.1,44.93,2.02,2.46,0.03,16
41.2,45.03,2.19,2.2,0.03,15
41.3,45.13,2.35,2.09,0.03,15
41.4,45.23,2.7,2.08,0.02,17
41.5,45.33,3.11,2.19,0.02,14
41.6,45.43,3.68,2.22,0.03,16
41.7,45.53,4.13,2.12,0.03,14
41.8,45.63,4.69,2.12,0.03,15
41.9,45.73,5.32,2.24,0.03,16
42,45.83,6.16,2.5,0.02,16
42.1,45.93,6.96,2.76,0.02,17
42.2,46.04,8.39,2.95,0.02,13
42.3,46.14,9.93,2.84,0.03,15
42.4,46.24,12.02,2.63,0.03,16
42.5,46.34,13.67,2.43,0.03,13
42.59,46.43,15.6,2.4,0.03,18
42.69,46.53,16.82,2.37,0.03,13
42.8,46.64,17.9,2.33,0.02,17
42.9,46.74,18.64,2.32,0.02,17
43,46.84,19.19,2.39,0.03,16
43.1,46.94,19.38,2.42,0.03,16
43.2,47.04,18.97,2.45,0.03,14
43.3,47.14,18.27,2.19,0.03,16
43.4,47.24,17.17,2.05,0.02,20
43.5,47.34,15.72,2.07,0.02,16
43.6,47.44,14.58,2.3,0.02,18
43.69,47.53,13.29,2.22,0.03,17
43.79,47.63,12.1,2.12,0.03,15
43.89,47.73,10.27,2.29,0.03,14
44,47.83,8.48,2.59,0.03,14
44.1,47.93,5.79,3.62,0.03,17
44.19,48.03,3.5,3.78,0.02,15
44.29,48.13,1.96,3.88,0.02,14
44.39,48.23,1.46,3.07,0.02,21
44.5,48.33,0.82,2.86,0.02,16
44.6,48.43,0.06,2.69,0.03,16
44.7,48.53,-0.91,2.5,0.02,18
44.8,48.63,-1.73,2.25,0.02,18
44.9,48.73,-2.66,2.08,0.02,18
45,48.83,-3.16,2,0.03,21
45.1,48.93,-3.63,2.04,0.04,16
