"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-60.3,-63.49,6.36,2.15,0.03,13
-60.2,-63.4,5.99,1.86,0.03,19
-60.1,-63.31,5.84,1.65,0.03,15
-60.01,-63.22,5.87,1.48,0.04,19
-59.9,-63.12,6.07,1.57,0.04,18
-59.8,-63.03,6.3,1.68,0.02,17
-59.71,-62.94,6.5,1.84,0.02,15
-59.61,-62.85,6.89,1.73,0.02,18
-59.51,-62.75,7.24,1.74,0.02,19
-59.4,-62.66,7.64,1.72,0.02,19
-59.3,-62.56,8.21,1.98,0.01,16
-59.2,-62.47,8.89,2.15,0.02,16
-59.11,-62.38,10.08,2.03,0.03,15
-59,-62.29,11.34,1.92,0.03,17
-58.91,-62.19,12.65,1.73,0.03,15
-58.81,-62.1,13.7,1.85,0.03,16
-58.71,-62.01,14.61,2.02,0.03,19
-58.61,-61.91,15.54,2.19,0.02,18
-58.51,-61.82,16.41,2.46,0.01,17
-58.41,-61.73,17.54,2.68,0.02,14
-58.31,-61.63,18.72,3.12,0.02,13
-58.2,-61.54,19.89,3.51,0.03,15
-58.11,-61.45,20.76,3.88,0.02,15
-58.01,-61.36,21.89,4.09,0.03,12
-57.91,-61.26,22.62,4.23,0.03,13
-57.81,-61.17,23.13,4.34,0.03,13
-57.7,-61.07,22.72,4.34,0.02,13
-57.6,-60.97,22.59,4.2,0.03,16
-57.5,-60.88,22.09,3.85,0.03,13
-57.4,-60.79,21.3,3.41,0.03,13
-57.31,-60.7,19.75,3.3,0.03,13
-57.21,-60.6,16.89,3.95,0.02,12
-57.11,-60.51,13.8,4.23,0.02,14
-57.01,-60.41,11.09,4.06,0.03,13
-56.91,-60.32,9.46,3.2,0.03,16
-56.8,-60.22,8.11,2.64,0.03,14
-56.7,-60.13,6.6,2.38,0.03,17
-56.6,-60.03,5.37,2.12,0.02,15
-56.5,-59.94,4.51,2.15,0.02,15
-56.4,-59.84,3.65,2.15,0.02,17
-56.3,-59.75,2.92,2.3,0.03,15
-56.2,-59.65,2.02,2.37,0.03,16
-56.1,-59.56,1.35,2.36,0.03,18
-56,-59.47,0.72,2.4,0.02,15
-55.9,-59.38,0.47,2.46,0.02,17
-55.8,-59.28,0.16,2.5,0.03,18
-55.7,-59.19,-0.01,2.4,0.03,16
-55.6,-59.09,-0.19,2.28,0.03,18
-55.5,-59,-0.23,2.18,0.03,15
-55.4,-58.9,-0.44,2.15,0.03,16
-55.31,-58.81,-0.63,2.07,0.03,13
-55.21,-58.72,-1.04,2.08,0.03,21
-55.11,-58.62,-1.2,1.96,0.03,19
-55,-58.52,-1.62,2.09,0.03,20
-54.9,-58.43,-1.8,2.08,0.03,20
-54.8,-58.33,-2.03,2.25,0.03,18
-54.7,-58.24,-2.31,2.26,0.02,19
-54.6,-58.15,-2.49,2.27,0.03,18
-54.51,-58.05,-2.45,2.08,0.03,18
-54.41,-57.96,-2.21,2,0.03,17
-54.3,-57.86,-1.96,2.02,0.03,19
-54.2,-57.76,-2.25,2.3,0.03,21
-54.1,-57.66,-2.33,2.33,0.03,22
-54,-57.57,-2.67,2.24,0.03,18
-53.9,-57.47,-2.84,2.01,0.03,21
-53.8,-57.38,-3.1,1.86,0.01,20
-53.7,-57.29,-3.33,1.94,0.01,17
-53.6,-57.19,-3.45,1.95,0.03,21
-53.51,-57.1,-3.71,2,0.03,18
-53.41,-57.01,-3.89,1.77,0.04,23
-53.31,-56.91,-4.19,1.73,0.04,20
-53.2,-56.81,-4.5,1.76,0.04,23
-53.1,-56.71,-4.62,1.88,0.04,23
-53,-56.62,-4.57,1.8,0.04,21
-52.9,-56.52,-4.62,1.72,0.03,18
-52.8,-56.42,-4.72,1.79,0.04,16
-52.7,-56.33,-4.73,1.97,0.04,19
-52.61,-56.24,-4.67,2.16,0.04,21
-52.51,-56.15,-4.62,2.41,0.03,10
-52.41,-56.05,-5.07,3.2,0.03,12
-52.3,-55.95,-5.03,4,0.03,9
-52.2,-55.85,-4.85,4.11,0.03,12
-52.09,-55.75,-4.94,4.31,0.03,10
-51.99,-55.65,-5.49,4.25,0.04,13
-51.9,-55.56,-6.06,4.5,0.03,17
-51.8,-55.47,-5.28,3.68,0.03,19
-51.7,-55.37,-3.82,2.67,0.03,18
-51.6,-55.28,-2.04,1.78,0.03,21
-51.51,-55.19,-0.69,1.3,0.03,15
-51.41,-55.09,0.13,1.19,0.03,14
-51.31,-54.99,0.64,1.06,0.03,16
-51.2,-54.89,1.14,3.7,0.03,23
-51.1,-54.79,2.11,3.7,0.03,21
-51,-54.7,3.08,1.08,0.02,20
-50.9,-54.6,4.24,1.18,0.02,17
-50.8,-54.5,5.15,1.12,0.02,17
-50.7,-54.41,6.34,1.5,0.02,24
-50.6,-54.31,7.49,2.24,0.03,20
-50.5,-54.21,9.6,3.2,0.03,18
-50.4,-54.12,11.95,3.75,0.03,16
-50.3,-54.02,13.62,4.28,0.02,13
-50.2,-53.92,14.97,5.63,0.03,17
-50.1,-53.82,15.62,6.96,0.03,17
-50,-53.73,18.62,7.51,0.03,15
-49.9,-53.64,21.57,6.3,0.03,13
-49.8,-53.54,25.18,4.76,0.03,13
-49.7,-53.44,26.68,3.37,0.03,13
-49.6,-53.35,28.46,2.08,0.03,16
-49.5,-53.25,30.49,2.19,0.03,11
-49.4,-53.15,32.89,2.82,0.04,12
-49.3,-53.05,34.74,3.84,0.04,17
-49.2,-52.95,36.31,4.17,0.04,14
-49.1,-52.86,37.65,4.32,0.03,17
-49,-52.76,39.04,5.18,0.03,16
-48.9,-52.66,40.33,4.85,0.03,15
-48.8,-52.57,41.42,4.92,0.03,14
-48.7,-52.47,42.01,4.36,0.04,18
-48.6,-52.37,41.74,4.59,0.04,22
-48.5,-52.27,41.23,4.27,0.04,17
-48.4,-52.18,40.18,3.79,0.02,19
-48.3,-52.08,39.36,3.36,0.01,15
-48.2,-51.98,38.42,3.22,0.01,18
-48.1,-51.89,37.2,3.36,0.01,19
-48,-51.79,34.64,3.88,0.04,16
-47.9,-51.69,31.37,4.76,0.04,20
-47.8,-51.59,27.8,5.51,0.04,17
-47.7,-51.49,24.81,5.26,0.04,20
-47.6,-51.39,22.04,4.39,0.04,19
-47.5,-51.29,19.39,3.42,0.03,18
-47.4,-51.2,16.92,2.95,0.03,14
-47.3,-51.1,15.03,2.84,0.03,17
-47.2,-51,13.28,2.6,0.04,20
-47.1,-50.9,12.19,2.67,0.03,21
-47,-50.81,10.51,2.45,0.03,17
-46.9,-50.71,9.22,2.42,0.02,19
-46.8,-50.61,7.54,2.01,0.02,22
-46.7,-50.51,6.51,1.69,0.02,22
-46.6,-50.41,5.4,1.46,0.03,22
-46.5,-50.31,4.11,1.48,0.03,16
-46.4,-50.22,2.67,1.59,0.03,15
-46.3,-50.12,1.28,1.88,0.03,20
-46.2,-50.02,-0.01,2.16,0.04,23
-46.1,-49.92,-1.05,2.62,0.04,27
-46,-49.82,-2.29,2.81,0.04,19
-45.9,-49.72,-3.37,2.93,0.03,20
-45.8,-49.62,-4.52,2.64,0.04,18
-45.7,-49.52,-5.57,2.65,0.03,19
-45.6,-49.42,-6.66,2.6,0.03,21
-45.5,-49.33,-7.55,2.62,0.02,18
-45.4,-49.23,-8.49,2.51,0.01,20
-45.3,-49.13,-9.27,2.59,0.01,18
-45.2,-49.03,-10.33,2.65,0.02,21
-45.1,-48.93,-10.78,2.54,0.03,21
-45,-48.84,-11.5,2.47,0.03,14
-44.91,-48.74,-12.49,2.63,0.02,20
-44.8,-48.64,-13.77,3.04,0.03,15
-44.7,-48.54,-15.07,3.51,0.03,17
-44.6,-48.43,-16.14,4.01,0.03,20
-44.5,-48.33,-17.26,4.6,0.03,19
-44.4,-48.23,-17.23,5,0.03,19
-44.3,-48.13,-17.44,5.51,0.03,12
-44.2,-48.03,-17.58,5.94,0.03,15
-44.1,-47.94,-17.87,6.59,0.03,14
-44,-47.84,-17.65,6.86,0.02,15
-43.9,-47.74,-17.37,6.9,0.03,15
-43.8,-47.64,-16.92,6.24,0.03,15
-43.7,-47.54,-17.26,6.11,0.03,15
-43.6,-47.44,-17.88,5.94,0.03,19
-43.5,-47.34,-18.52,6.53,0.03,11
-43.4,-47.24,-16.81,6.49,0.02,14
-43.31,-47.15,-13.56,5.63,0.02,7
-43.21,-47.05,-10.58,4.62,0.03,8
-43.1,-46.94,-8.38,3.8,0.03,9
-43,-46.84,-7.12,3.73,0.03,6
-42.9,-46.74,-6.64,3.5,0.02,8
-42.8,-46.64,-6.3,3.27,0.02,6
-42.7,-46.54,-5.14,4.39,0.02,9
-42.6,-46.44,-1.9,5.35,0.02,12
-42.5,-46.34,0.87,6.76,0.02,8
