"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-69.92788,-72.28005,199.0851,0.74341,-1.08305,0.61969
-69.40928,-71.8133,166.94879,-1.52417,-1.08346,0.81222
-69.15026,-71.57992,167.04881,-3.85697,-1.08367,0.84682
-68.59586,-71.07983,166.53209,8.30849,1.08412,0.87919
-67.71066,-70.27968,198.63506,11.9326,-1.08486,0.71398
-67.25768,-69.86941,162.42256,-5.03715,4.88617,0.84457
-67.09217,-69.71937,162.77261,-13.9494,-1.62894,0.87775
-66.84407,-69.4943,162.77261,-14.09503,-3.25853,0.87043
-66.48604,-69.16921,162.02251,5.20176,1.62974,0.8468
-66.21089,-68.91914,161.9975,5.91784,1.63011,0.8635
-65.96347,-68.69408,162.02251,5.31287,0,0.89904
-65.68879,-68.44401,162.12252,2.68558,0,0.89801
-65.38691,-68.16894,162.12252,2.71755,1.63123,0.90958
-65.08534,-67.89386,161.94749,7.56098,3.2633,0.91211
-64.95974,-67.77922,198.00166,30.8341,-1.08731,0.59427
-64.81143,-67.64379,161.77247,12.50265,3.26407,0.90496
-64.51042,-67.36871,161.2724,26.69592,4.89738,0.90863
-64.41245,-67.27913,198.01833,31.00824,-1.08783,0.52076
-64.23704,-67.11864,161.32241,25.54981,4.89855,0.9091
-63.96391,-66.86858,161.37241,24.37431,4.89973,0.90901
-63.75704,-66.67901,165.41531,42.35375,-1.08846,0.83048
-63.69103,-66.6185,161.34741,25.34169,4.90092,0.90385
-63.50255,-66.44564,165.43199,42.25891,-1.08871,0.66995
-63.44566,-66.39344,161.39742,24.10563,3.268,0.88267
-63.39355,-66.34562,156.06445,42.42425,-1.08881,0.82893
-63.3209,-66.27894,198.7684,10.26692,-1.08888,0.84896
-63.17327,-66.14337,161.2224,29.50381,3.2688,0.81572
-63.13937,-66.11224,156.06445,42.80938,-1.08906,0.6346
-62.92833,-65.91831,161.17239,31.24754,1.63476,0.78006
-62.88543,-65.87887,156.11446,41.70414,-1.08931,0.51553
-62.77666,-65.77885,198.38504,21.92815,-1.08942,0.7369
-62.70417,-65.71217,172.76601,31.47641,-1.08949,0.75586
-62.65643,-65.66824,161.02237,36.05162,1.63517,0.81633
-62.48682,-65.51213,172.76601,31.7139,-1.08971,0.79715
-62.48682,-65.51213,166.59875,8.55772,-1.08971,0.53853
-62.38479,-65.41817,161.04737,35.63272,1.63558,0.84908
-62.26964,-65.31209,172.716,33.47236,-1.08993,0.64953
-62.23346,-65.27876,166.56543,9.64788,-1.08997,0.64612
-62.12494,-65.17874,156.54784,29.5603,-1.09008,0.6588
