     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -32.70       -36.29        43.04         5.22         0.09    42
      -32.40       -35.97        46.49         2.94         0.09    24
      -32.11       -35.66        47.11         2.88         0.09    34
      -31.80       -35.33        41.69         4.89         0.08    42
      -31.50       -35.02        36.14         5.97         0.08    36
      -31.20       -34.70        27.25         7.73         0.08    31
      -30.90       -34.39        19.43         6.48         0.09    37
      -30.60       -34.07        11.01         6.12         0.09    35
      -30.30       -33.75         4.39         5.57         0.08    35
      -30.00       -33.43         0.30         5.48         0.09    43
      -29.70       -33.11        -5.41         6.08         0.09    49
      -29.39       -32.79        -9.68         5.07         0.09    47
      -29.09       -32.47       -14.12         4.34         0.08    42
      -28.80       -32.16       -16.84         3.63         0.08    48
      -28.50       -31.84       -18.44         3.41         0.09    47
      -28.20       -31.52       -16.85         3.33         0.09    44
      -27.90       -31.19       -12.58         3.42         0.08    51
      -27.60       -30.87        -7.08         3.37         0.09    41
      -27.30       -30.55        -2.95         2.85         0.08    47
      -27.01       -30.24         0.10         2.16         0.08    45
      -26.70       -29.91         3.11         2.33         0.09    45
      -26.40       -29.59         7.91         3.87         0.09    57
      -26.10       -29.26        14.38         4.24         0.09    46
      -25.80       -28.93        20.54         3.97         0.08    55
      -25.50       -28.61        26.25         3.06         0.09    60
      -25.20       -28.28        30.10         2.63         0.09    65
      -24.90       -27.96        32.50         2.52         0.08    62
      -24.60       -27.64        32.16         2.15         0.08    54
      -24.30       -27.31        30.51         2.12         0.08    64
      -24.00       -26.99        29.05         2.11         0.09    62
      -23.70       -26.65        28.63         1.85         0.09    64
      -23.40       -26.32        28.91         1.72         0.09    68
      -23.10       -26.00        29.29         1.57         0.08    72
      -22.80       -25.67        29.78         1.48         0.09    60
      -22.50       -25.35        29.81         1.40         0.08    74
      -22.20       -25.02        29.44         2.18         0.09    67
      -21.90       -24.69        27.14         3.46         0.09    73
      -21.60       -24.36        22.79         4.85         0.09    72
