     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -23.10       -26.00        28.24         1.53         0.08    24
      -22.81       -25.68        28.86         1.43         0.09    26
      -22.51       -25.36        29.68         1.50         0.09    28
      -22.21       -25.03        29.92         1.77         0.09    28
      -21.90       -24.69        28.39         2.26         0.09    33
      -21.60       -24.36        22.99         2.90         0.08    34
      -21.30       -24.03        16.32         2.89         0.09    29
      -20.99       -23.69         8.39         3.57         0.09    33
      -20.70       -23.37         3.98         3.92         0.09    36
      -20.40       -23.04         0.74         5.41         0.08    34
      -20.12       -22.73        -4.12         6.42         0.08    33
      -19.82       -22.40        -9.27         7.05         0.08    33
      -19.51       -22.06       -14.82         7.15         0.09    40
      -19.20       -21.72       -23.22         7.26         0.09    38
      -18.91       -21.39       -33.54         8.19         0.08    28
      -18.61       -21.06       -39.48         7.58         0.08    35
      -18.30       -20.72       -40.77         6.27         0.08    16
      -17.99       -20.38       -42.75         3.97         0.08    20
      -17.70       -20.05       -48.92         3.16         0.08    31
      -17.41       -19.73       -53.88         2.33         0.08    34
      -17.12       -19.40       -55.81         2.53         0.09    29
      -16.81       -19.06       -57.05         2.91         0.09    36
      -16.51       -18.72       -56.79         3.48         0.08    37
      -16.21       -18.39       -55.97         3.90         0.09    35
      -15.91       -18.06       -55.04         3.75         0.08    30
      -15.61       -17.71       -52.16         5.41         0.09    23
      -15.30       -17.37       -45.84         7.63         0.09    27
      -15.00       -17.03       -35.30         9.59         0.09    28
      -14.69       -16.69       -23.10         8.02         0.09    32
      -14.39       -16.35       -13.20         5.33         0.09    26
      -14.08       -16.01        -6.58         3.41         0.09    28
      -13.79       -15.67        -3.76         3.23         0.08    32
      -13.50       -15.35        -1.79         3.69         0.08    26
      -13.20       -15.02         1.30         4.35         0.08    32
      -12.90       -14.68         5.16         4.06         0.09    30
      -12.60       -14.34         8.10         3.14         0.09    33
      -12.30       -14.01         9.52         1.95         0.09    27
      -12.01       -13.67        10.86         1.85         0.08    27
      -11.71       -13.34        14.56         1.98         0.08    27
      -11.41       -13.00        19.93         2.31         0.09    27
      -11.11       -12.65        24.51         2.62         0.09    34
      -10.79       -12.29        28.70         3.90         0.09    33
      -10.48       -11.94        31.20         4.24         0.08    33
      -10.18       -11.61        34.78         4.23         0.08    28
       -9.89       -11.28        38.15         3.16         0.08    34
       -9.60       -10.94        42.11         3.62         0.08    30
       -9.30       -10.60        47.04         4.62         0.08    23
       -9.01       -10.28        52.78         6.06         0.08    34
       -8.70        -9.93        59.06         8.98         0.07    17
       -8.41        -9.59        64.78        10.57         0.07    15
       -8.09        -9.23        66.79        11.66         0.08    20
       -7.79        -8.89        69.64        10.41         0.09    30
       -7.48        -8.54        75.91        10.45         0.09    42
       -7.19        -8.21        85.25         9.84         0.09    43
       -6.90        -7.88        93.52         8.66         0.09    37
       -6.61        -7.55        95.56         7.47         0.09    35
       -6.31        -7.21        95.35         5.78         0.09    41
       -6.02        -6.87        93.01         5.15         0.08    34
       -5.71        -6.53        91.36         3.66         0.08    41
       -5.41        -6.18        90.73         4.23         0.08    41
       -5.10        -5.83        91.36         4.01         0.09    44
       -4.80        -5.49        91.04         6.03         0.08    38
       -4.50        -5.14        86.75         7.28         0.09    44
       -4.20        -4.80        81.29         8.12         0.08    34
       -3.90        -4.45        74.26         9.90         0.09    39
       -3.60        -4.12        73.31        15.88         0.09    38
       -3.30        -3.77        79.63        18.84         0.09    19
       -3.00        -3.43        84.33        20.64         0.09    15
       -2.70        -3.08        92.64        16.77         0.09     8
       -2.40        -2.75        96.60        20.54         0.08    13
       -2.12        -2.43       102.15        20.87         0.08    16
       -1.85        -2.12       109.20        16.43         0.06    18
       -1.56        -1.78       121.84        14.30         0.06     3
       -1.25        -1.42       138.87        11.56         0.06    12
       -0.91        -1.04       143.02        21.23         0.08    22
       -0.60        -0.69       129.06        29.04         0.09    25
       -0.30        -0.34       106.22        31.27         0.09    22
       -0.01        -0.01        91.16        25.04         0.09    28
        0.30         0.34        87.41        14.91         0.09    21
        0.60         0.69        89.44        13.34         0.09    22
        0.91         1.04        89.14        17.50         0.09    25
        1.20         1.37        80.39        19.48         0.09    17
        1.50         1.72        66.75        20.32         0.08    19
        1.79         2.05        56.44        20.30         0.08    15
        2.09         2.39        49.67        20.47         0.08    13
        2.39         2.73        47.43        20.77         0.08     5
        2.71         3.10        41.18        17.69         0.09    13
        3.02         3.45        41.42        14.88         0.09     9
        3.32         3.79        43.45        11.88         0.09    29
        3.61         4.12        47.23         7.90         0.09    25
        3.90         4.45        48.98         6.24         0.09    35
        4.19         4.79        51.64         5.43         0.09    37
        4.49         5.13        52.94         6.51         0.09    30
        4.79         5.48        54.99         7.18         0.08    45
        5.09         5.81        55.71         7.41         0.08    30
        5.39         6.16        56.33         8.93         0.08    40
        5.70         6.51        62.63        12.56         0.09    30
        6.01         6.87        76.07        14.83         0.08    35
        6.31         7.21        87.83        14.15         0.09    33
        6.61         7.55        92.05         9.90         0.09    36
        6.90         7.88        88.75         8.05         0.09    29
        7.19         8.21        85.51         7.05         0.08    33
        7.50         8.56        84.35         6.38         0.09    37
        7.80         8.91        84.59         4.92         0.09    39
        8.11         9.26        84.46         4.46         0.08    35
        8.41         9.59        82.13         4.39         0.08    33
        8.70         9.93        78.18         5.63         0.08    39
        9.00        10.27        77.28         5.55         0.08    36
        9.30        10.61        75.22         7.23         0.08    32
        9.60        10.95        72.22         6.38         0.09    37
        9.89        11.28        67.34         7.56         0.08    34
       10.19        11.61        62.30         6.75         0.09    36
       10.48        11.94        55.80         6.74         0.09    35
       10.79        12.30        48.63         6.27         0.09    41
       11.10        12.64        43.13         6.22         0.08    29
       11.40        12.99        36.07         7.13         0.08    47
       11.70        13.32        28.06         7.51         0.08    37
       12.00        13.66        17.53         7.94         0.09    39
       12.30        14.00        11.20         6.31         0.08    42
       12.61        14.35         6.75         4.74         0.09    46
       12.91        14.69         4.57         3.92         0.09    43
       13.21        15.03         1.05         5.07         0.08    42
       13.51        15.36        -3.10         5.31         0.09    37
       13.80        15.69        -7.47         4.14         0.08    40
       14.09        16.02       -10.33         2.99         0.09    38
       14.39        16.35       -12.80         3.22         0.09    43
       14.69        16.69       -14.81         4.11         0.09    38
       14.99        17.03       -17.69         4.37         0.09    37
       15.30        17.37       -19.54         4.26         0.09    36
       15.61        17.72       -20.24         4.36         0.09    36
       15.91        18.05       -17.79         6.28         0.08    45
       16.20        18.38       -13.46         8.50         0.08    30
       16.50        18.72        -7.63         9.07         0.09    37
       16.80        19.05        -3.42         9.09         0.09    49
       17.10        19.38         0.61         8.48         0.08    37
       17.40        19.71         4.01        10.09         0.09    31
       17.70        20.05        12.78        11.97         0.08    32
