"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-29.7,-33.12,-8.83,10.52,0.08,187
-29.4,-32.79,-13.35,9.32,0.08,180
-29.09,-32.47,-16.77,7.64,0.08,162
-28.8,-32.16,-20.45,6.64,0.08,161
-28.5,-31.84,-21.04,5.86,0.08,137
-28.21,-31.52,-18.86,6.42,0.09,145
-27.9,-31.2,-13.71,6.65,0.09,123
-27.6,-30.88,-8.5,6.91,0.09,118
-27.3,-30.55,-2.59,7.16,0.08,131
-27,-30.23,2.27,9.1,0.08,132
-26.7,-29.9,7.36,10.79,0.08,112
-26.4,-29.58,11.81,11.28,0.08,130
-26.1,-29.26,16.12,10.04,0.08,137
-25.8,-28.94,20.4,8.52,0.08,134
-25.5,-28.61,24.62,7.37,0.08,143
-25.2,-28.29,29.4,6.67,0.09,136
-24.9,-27.96,32.78,5.34,0.08,139
-24.6,-27.64,33.45,4.24,0.08,122
-24.31,-27.32,31.79,3.36,0.08,133
-24.01,-26.99,28.79,3.51,0.09,135
-23.7,-26.65,26.48,4.45,0.09,118
-23.39,-26.32,24.87,5.86,0.09,127
-23.09,-25.99,24.03,7.58,0.08,128
-22.79,-25.67,23.6,8.82,0.08,116
-22.5,-25.34,23.55,10.22,0.08,122
-22.2,-25.02,23.32,11.35,0.09,128
-21.9,-24.69,21.92,12.09,0.09,129
-21.6,-24.36,19.01,11.76,0.09,124
-21.29,-24.02,14.15,10.31,0.09,132
-20.99,-23.69,8.42,9.11,0.09,139
-20.7,-23.37,2.43,9.36,0.09,113
-20.41,-23.05,-2.85,9.64,0.09,110
-20.11,-22.72,-7.17,9.84,0.09,135
-19.81,-22.39,-11.3,8.65,0.09,121
-19.5,-22.05,-14.93,9.02,0.08,152
-19.21,-21.72,-21.48,9.15,0.08,144
-18.91,-21.39,-27.96,10.68,0.08,153
-18.61,-21.06,-37.45,12.88,0.08,128
-18.3,-20.72,-46.07,13.01,0.08,110
-18,-20.38,-53.05,11.74,0.08,100
-17.69,-20.04,-56.82,8.86,0.08,157
-17.4,-19.72,-57,8.8,0.09,136
-17.1,-19.39,-59.89,8.33,0.09,110
-16.81,-19.06,-60.71,8.76,0.09,103
-16.51,-18.72,-60.84,7.97,0.09,104
-16.22,-18.4,-56.07,8.22,0.09,87
-15.93,-18.08,-51.91,8.53,0.09,79
-15.62,-17.73,-44.91,10.54,0.08,50
-15.31,-17.39,-36.35,11.96,0.09,39
-14.99,-17.03,-24.86,11.5,0.09,65
-14.7,-16.7,-16.39,11.69,0.08,51
-14.39,-16.35,-9.34,11.15,0.08,45
-14.09,-16.02,-6.59,11.06,0.08,66
-13.79,-15.68,-2.66,9.89,0.09,76
-13.5,-15.35,-1.81,9.48,0.08,88
-13.21,-15.02,0.6,9.39,0.08,95
-12.91,-14.69,2.94,8.84,0.08,89
-12.61,-14.35,6.43,8.97,0.09,101
-12.3,-14.01,10.73,9.02,0.09,104
-12,-13.66,14.32,8.1,0.09,69
-11.7,-13.33,19.09,6.67,0.09,62
-11.4,-12.99,23.67,5.87,0.08,66
-11.1,-12.65,28.29,6.22,0.09,75
-10.8,-12.31,31.88,6.23,0.09,95
-10.5,-11.96,33.98,7.07,0.09,94
-10.19,-11.62,36.37,8.13,0.09,110
-9.89,-11.28,38.96,11.4,0.09,112
-9.6,-10.94,42.32,12.71,0.09,100
-9.3,-10.61,47.21,14.05,0.09,128
-9,-10.27,53.85,14.95,0.09,139
-8.7,-9.93,66.6,16.72,0.09,123
-8.4,-9.59,77.54,18.74,0.08,122
-8.1,-9.25,85.93,18.21,0.08,167
-7.8,-8.9,90.22,16.39,0.08,172
-7.5,-8.56,93.52,12.76,0.09,149
-7.2,-8.22,97,10.66,0.08,150
-6.9,-7.88,98.8,9.83,0.09,141
-6.6,-7.54,98.45,10.1,0.09,161
-6.3,-7.19,96.88,9.8,0.09,165
-6,-6.85,93.45,8.7,0.08,175
-5.7,-6.51,91.55,7.41,0.09,213
-5.4,-6.17,89.32,6.71,0.09,207
-5.1,-5.83,86.72,7.45,0.08,160
-4.8,-5.49,83.08,9,0.08,184
-4.51,-5.15,80.38,10.77,0.08,140
-4.2,-4.8,78.36,10.9,0.09,148
-3.91,-4.47,76.94,12.84,0.09,119
-3.6,-4.12,75.17,13.44,0.08,97
-3.3,-3.78,76.25,20.1,0.09,74
-3,-3.43,78.35,25.6,0.09,85
-2.71,-3.1,82.6,33.23,0.08,73
-2.42,-2.77,87.2,37.19,0.08,42
-2.11,-2.41,92.82,37.8,0.08,66
-1.81,-2.06,106.53,37.33,0.08,70
-1.51,-1.72,116.15,33.86,0.08,90
-1.22,-1.39,115.51,37.39,0.08,51
-0.9,-1.03,106.93,40.7,0.08,58
-0.6,-0.68,99.18,47.08,0.08,84
-0.3,-0.34,104.92,48.02,0.09,90
-0,-0,110.46,46.99,0.09,49
0.3,0.34,116.04,46.81,0.08,47
0.61,0.69,104.29,39.46,0.08,41
0.9,1.03,92.22,34.28,0.08,56
1.19,1.37,80.7,27.41,0.08,43
1.47,1.68,99.97,32.32,0.08,26
1.79,2.06,93.16,28.89,0.07,10
2.1,2.41,90.09,28.61,0.07,16
2.42,2.79,58.74,18.75,0.07,18
2.7,3.1,59.96,25.17,0.08,23
3,3.44,56.19,25.16,0.08,31
3.3,3.79,57.48,26.06,0.09,57
3.6,4.14,53.32,18.99,0.09,51
3.91,4.5,48.29,13.96,0.09,58
4.21,4.84,49.23,12.38,0.08,55
4.51,5.18,49.01,10.53,0.08,77
4.8,5.52,51.67,11.51,0.09,45
5.1,5.86,57.43,16.17,0.09,79
5.4,6.19,60.36,17.84,0.09,52
5.7,6.54,63.49,17.32,0.09,71
6,6.88,64.14,13.56,0.09,55
6.31,7.24,69.84,14.49,0.09,55
6.61,7.58,77.98,14.6,0.09,53
6.92,7.93,82.78,15.42,0.09,58
7.21,8.26,82.35,13.85,0.09,63
7.51,8.6,78.59,12.66,0.08,71
7.8,8.93,79.12,11.36,0.09,55
8.1,9.27,80.29,11.15,0.08,54
8.4,9.61,80.5,10.74,0.09,63
8.7,9.95,78.13,9.33,0.09,67
9,10.3,76,7.2,0.09,62
9.3,10.64,73.51,6.86,0.09,73
9.6,10.98,71.26,6.25,0.09,84
9.9,11.31,68.5,6.25,0.09,114
10.2,11.65,65.55,5.63,0.09,119
10.5,12,61.05,7.06,0.09,101
10.8,12.34,55.95,7.37,0.09,111
11.1,12.68,50.64,6.33,0.09,104
11.39,13.01,44.58,5.6,0.09,112
11.7,13.35,37.5,5.44,0.09,103
12,13.69,30.09,6.13,0.09,115
12.31,14.04,21.74,5.9,0.09,112
