"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-62.05262,-65.11206,178.19984,14.92033,-1.0978,0.86489
-62.01647,-65.07872,178.19984,14.93858,-1.09783,0.86412
-62.01647,-65.07872,174.4995,15.96882,-1.09783,0.88975
-61.98032,-65.04538,178.19984,14.95682,-1.09787,0.86546
-61.87191,-64.94536,174.48282,16.56441,1.09798,0.90711
-61.83578,-64.91202,132.22891,-1.55493,1.09811,0.70448
-61.81771,-64.89535,178.23317,14.00165,0,0.8718
-61.79965,-64.87868,121.56126,-0.51894,1.09815,0.6895
-61.78159,-64.86201,178.23317,14.0186,0,0.86724
-61.76353,-64.84534,174.46616,17.1442,1.09809,0.91526
-61.74547,-64.82867,178.21651,14.55538,0,0.863
-61.72742,-64.812,132.22891,-1.56058,1.09822,0.72072
-61.72742,-64.812,178.23317,14.04401,-1.09813,0.86229
-61.69131,-64.77866,178.21651,14.58172,-1.09817,0.86397
-61.6552,-64.74532,131.09547,0.52145,1.0983,0.71201
-61.6552,-64.74532,129.71201,1.04289,1.0983,0.68478
-61.6191,-64.71198,132.22891,-1.56622,1.09834,0.76606
-61.6191,-64.71198,131.99556,-1.56622,1.09834,0.77208
-61.60105,-64.69531,135.44588,-2.08954,0,0.7779
-61.583,-64.67864,191.16769,7.84049,1.09837,0.88438
-61.54691,-64.6453,121.57793,-1.04665,1.09841,0.73026
-61.54691,-64.6453,131.12881,-0.52333,1.09841,0.78593
-61.51082,-64.61197,132.21223,-1.0479,1.09845,0.79542
-61.51082,-64.61197,129.77869,-1.0479,1.09845,0.79453
-61.47474,-64.57863,133.71239,-1.04915,1.09849,0.77369
-61.47474,-64.57863,131.9789,-1.04915,1.09849,0.80015
-61.4567,-64.56196,131.12881,-0.52489,0,0.81514
-61.40259,-64.51195,132.21223,-1.05166,1.09856,0.78777
-61.38456,-64.49528,129.77869,-1.05228,0,0.81511
-61.36652,-64.47861,135.41254,-1.05291,-1.0986,0.79491
-61.36652,-64.47861,131.11214,0,-1.0986,0.80739
-61.34849,-64.46194,131.96222,-0.52677,0,0.78162
-61.33046,-64.44527,132.17891,0,-1.09864,0.76426
-61.33046,-64.44527,191.01768,12.64988,1.09864,0.8974
-61.2944,-64.41193,121.57793,-1.05541,1.09867,0.76876
-61.25835,-64.37859,131.12881,-0.52833,-1.09871,0.77338
-61.25835,-64.37859,126.69506,3.69829,1.09871,0.93035
-61.24032,-64.36192,133.71239,-1.05728,0,0.78122
-61.2223,-64.34525,131.94556,0,-1.09875,0.75809
-61.2223,-64.34525,132.16225,0.52895,-1.09875,0.73461
-61.2223,-64.34525,126.69506,3.70266,1.09875,0.93265
-61.18625,-64.31191,138.91286,-1.05915,-1.09879,0.71545
-61.18625,-64.31191,126.69506,3.70703,1.09879,0.93479
-61.15022,-64.27857,126.69506,3.71139,1.09882,0.93626
-61.11418,-64.24523,135.52921,-4.7774,-1.09886,0.7428
-61.11418,-64.24523,126.71173,3.18493,1.09886,0.93689
-61.11418,-64.24523,191.0677,11.14727,-1.09886,0.88273
-61.09617,-64.22856,159.58144,9.55962,0,0.50756
-61.07815,-64.21189,126.7284,2.65723,1.0989,0.93668
-61.06014,-64.19522,121.54459,0,0,0.75328
-61.06014,-64.19522,159.58144,9.57083,0,0.53739
-61.04213,-64.17855,126.7284,2.66034,1.09894,0.93575
-61.02412,-64.16188,159.58144,9.58204,0,0.56095
-61.00611,-64.14521,131.22881,-3.72884,1.09898,0.85937
-61.00611,-64.14521,126.7284,2.66346,1.09898,0.93404
-61.00611,-64.14521,159.59811,9.055,-1.09888,0.58148
-60.97009,-64.11187,139.92963,-1.59994,-1.09901,0.63577
-60.97009,-64.11187,126.7284,2.66657,1.09901,0.93158
-60.97009,-64.11187,159.58144,9.59885,-1.09892,0.60034
-60.93408,-64.07853,129.84535,-3.20362,1.09905,0.84777
-60.93408,-64.07853,126.7284,2.66968,1.09905,0.92844
-60.93408,-64.07853,159.58144,9.61005,-1.09896,0.61772
-60.91608,-64.06186,132.02888,-2.67124,0,0.76437
-60.89807,-64.04519,131.21214,-3.20735,1.09909,0.84847
-60.89807,-64.04519,132.22891,-1.60367,-1.09909,0.7502
-60.89807,-64.04519,126.71173,3.20735,1.09909,0.92489
-60.89807,-64.04519,159.59811,9.08673,-1.099,0.63338
-60.86207,-64.01185,126.67839,4.28144,1.09913,0.92143
-60.86207,-64.01185,159.59811,9.0973,-1.09904,0.649
-60.86207,-64.01185,191.10103,10.16842,-1.09913,0.79801
-60.84407,-63.99518,135.51254,-4.28393,0,0.75725
-60.84407,-63.99518,138.99622,-3.74844,0,0.74512
-60.82608,-63.97851,129.79535,-1.6074,-1.09917,0.81895
-60.82608,-63.97851,130.84544,8.57283,-1.09917,0.84596
-60.82608,-63.97851,126.66173,4.82221,1.09917,0.91848
-60.80808,-63.96185,121.56126,-0.53611,0,0.72569
-60.79008,-63.94518,132.22891,-1.60927,-1.0992,0.72742
-60.79008,-63.94518,131.99556,-1.60927,-1.0992,0.72678
-60.79008,-63.94518,126.62839,5.90065,1.0992,0.91582
-60.79008,-63.94518,159.58144,9.65481,1.09911,0.6745
-60.7541,-63.91184,126.61172,6.44453,1.09924,0.91275
-60.7541,-63.91184,159.58144,9.66599,1.09915,0.70589
-60.73611,-63.89517,133.76239,-2.68677,0,0.77428
-60.71812,-63.8785,131.16214,-1.61299,-1.09928,0.80845
-60.71812,-63.8785,126.61172,6.45198,1.09928,0.90855
-60.71812,-63.8785,159.58144,9.67716,1.09919,0.73252
-60.68214,-63.84516,129.81203,-2.15314,-1.09932,0.76004
-60.68214,-63.84516,131.91222,8.61257,-1.09932,0.68973
-60.68214,-63.84516,141.36308,8.07428,1.09932,0.91615
-60.68214,-63.84516,126.59505,6.99771,1.09932,0.90286
-60.68214,-63.84516,159.58144,9.68833,1.09923,0.7518
-60.66415,-63.82849,159.58144,9.69391,0,0.76746
-60.64617,-63.81182,132.01224,-2.15562,-1.09936,0.67696
-60.64617,-63.81182,141.37976,7.54468,1.09936,0.91158
-60.64617,-63.81182,126.59505,7.00578,1.09936,0.89581
-60.64617,-63.81182,159.58144,9.6995,-1.09926,0.77803
-60.62818,-63.79515,141.37976,7.54902,0,0.90628
-60.6102,-63.77848,131.1788,-2.1581,-1.09939,0.77142
-60.6102,-63.77848,141.37976,7.55337,-1.09939,0.90144
-60.6102,-63.77848,126.59505,7.01384,1.09939,0.88791
-60.6102,-63.77848,159.58144,9.71066,-1.0993,0.78196
-60.59222,-63.76181,135.49588,-3.77885,0,0.75844
-60.57424,-63.74514,121.59459,-1.62044,-1.09943,0.74664
-60.57424,-63.74514,141.39642,7.0219,-1.09943,0.89649
-60.57424,-63.74514,126.61172,6.48175,1.09943,0.87984
-60.57424,-63.74514,191.2177,9.72182,1.09934,0.63581
-60.57424,-63.74514,159.59811,9.18172,-1.09934,0.78085
-60.57424,-63.74514,177.18307,10.80202,-1.09934,0.79926
-60.57424,-63.74514,191.13435,9.18248,1.09943,0.73414
-60.53828,-63.7118,132.31226,-4.32613,1.09947,0.66294
-60.53828,-63.7118,129.81203,-2.16306,-1.09947,0.65387
-60.53828,-63.7118,141.41309,6.48919,-1.09947,0.89084
-60.53828,-63.7118,126.61172,6.48919,1.09947,0.87218
-60.53828,-63.7118,159.59811,9.19225,-1.09938,0.77882
-60.5203,-63.69513,138.99622,-3.78753,0,0.7222
-60.50233,-63.67846,133.76239,-2.70693,-1.09951,0.74023
-60.50233,-63.67846,141.44643,5.41385,-1.09951,0.88559
-60.50233,-63.67846,126.62839,5.95524,1.09951,0.86501
-60.50233,-63.67846,174.71619,9.74412,-1.09942,0.79784
-60.50233,-63.67846,159.61478,8.66144,-1.09942,0.77721
-60.46638,-63.64512,132.09557,-4.87804,1.09955,0.65741
-60.46638,-63.64512,141.47977,4.33603,-1.09955,0.88165
-60.46638,-63.64512,126.64506,5.42004,1.09955,0.85817
-60.46638,-63.64512,159.59811,9.2133,-1.09946,0.77312
-60.46638,-63.64512,177.23308,9.2133,-1.09946,0.78376
-60.43043,-63.61178,132.32892,-4.88361,1.09959,0.66213
-60.43043,-63.61178,139.97963,-3.25574,-1.09959,0.69121
-60.43043,-63.61178,141.51311,3.25574,-1.09959,0.8789
-60.43043,-63.61178,126.66173,4.88361,1.09959,0.8512
-60.43043,-63.61178,159.59811,9.22383,-1.09949,0.7615
-60.43043,-63.61178,191.03436,4.88361,1.09959,0.63667
-60.39449,-63.57844,141.52977,2.71621,-1.09962,0.87659
-60.39449,-63.57844,126.67839,4.34594,1.09962,0.84355
-60.39449,-63.57844,174.71619,9.77754,-1.09953,0.76613
-60.39449,-63.57844,159.59811,9.23434,-1.09953,0.73961
-60.35856,-63.5451,126.67839,4.35088,1.09966,0.835
-60.35856,-63.5451,159.59811,9.24486,-1.09957,0.70956
-60.35856,-63.5451,177.21642,9.78867,-1.09957,0.73843
-60.35856,-63.5451,191.26772,4.89474,-1.09966,0.67379
-60.32263,-63.51176,121.57793,-1.08896,-1.0997,0.75267
-60.32263,-63.51176,159.58144,9.7998,-1.09961,0.67755
-60.32263,-63.51176,191.15103,1.08896,1.0997,0.72405
-60.28671,-63.47842,126.69506,3.81568,1.09974,0.81568
-60.28671,-63.47842,191.23438,9.26587,-1.09965,0.52298
-60.28671,-63.47842,174.68285,10.90102,-1.09965,0.70325
-60.25079,-63.44508,133.77905,-3.27429,-1.09978,0.71112
-60.25079,-63.44508,126.69506,3.82,1.09978,0.8061
-60.23283,-63.42841,191.15103,1.09205,0,0.75834
-60.21487,-63.41174,132.11224,-5.46332,-1.09982,0.6575
-60.21487,-63.41174,138.96288,-2.73166,-1.09982,0.67376
-60.21487,-63.41174,126.69506,3.82432,1.09982,0.79744
-60.17897,-63.3784,126.69506,3.82865,1.09985,0.79007
-60.17897,-63.3784,174.64951,12.03188,-1.09976,0.66299
-60.14306,-63.34506,126.69506,3.83296,1.09989,0.78399
-60.14306,-63.34506,159.71478,5.47521,1.0998,0.6831
-60.12511,-63.32839,159.73145,4.93046,0,0.70711
-60.12511,-63.32839,191.10103,2.73937,0,0.73573
-60.10716,-63.31172,126.67839,4.38547,1.09993,0.77885
-60.10716,-63.31172,191.31772,3.2891,-1.09993,0.68486
-60.08921,-63.29506,159.74812,4.38757,0,0.72305
-60.07127,-63.27839,132.02888,-2.744,-1.09997,0.61408
-60.07127,-63.27839,121.54459,0,-1.09997,0.73971
-60.07127,-63.27839,126.67839,4.3904,1.09997,0.77411
-60.05332,-63.26171,159.78146,3.29437,0,0.72988
-60.03538,-63.24505,132.01222,5.49416,-1.10001,0.5732
-60.03538,-63.24505,141.61311,0,1.10001,0.81389
-60.03538,-63.24505,126.66173,4.94474,1.10001,0.76937
